time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
580,4430.809,5973.981,7345.689,5168.137,4054.621,5139.231,7099.299,4657.285,3249.853,7919.846,6632.226,4464.866,4712.361,3842.464,10357.36,5871.278,4346.212,4658.438
600,4411.938,5946.237,7311.275,5168.492,4043.676,5169.688,7205.021,4675.022,3262.558,7608.327,6686.146,4443.814,4990.814,3832.412,10613.217,5857.402,4449.062,4642.847
620,4485.782,5926.259,7307.973,5173.008,3976.965,5087.235,7347.784,4653.431,3280.635,7687.917,6659.832,4459.526,4884.887,3751.701,10626.516,5845.01,4268.438,4646.562
640,4493.907,5928.184,7280.916,5252.891,3985.203,5119.125,7275.855,4655.401,3271.936,7664.199,6619.379,4330.01,4898.567,3756.536,10648.948,5892.072,4085.95,4695.336
660,4503.422,5965.759,7467.049,5273.066,4017.32,5092.798,7225.454,4685.255,3283.147,7862.282,6628.745,4333.536,4937.546,3711.577,10786.876,5859.484,4124.013,4682.708
680,4437.875,5940.756,7455.835,5240.633,4002.457,5146.971,7264.454,4671.854,3175.308,7688.455,6709.007,4469.34,4932.299,3754.402,10858.402,5979.495,4158.7,4555.351
700,4447.093,6021.066,7457.062,5375.594,4012.055,5130.812,7316.557,4585.168,3332.474,7444.68,6705.657,4409.979,4868.165,3871.897,10851.175,5989.402,4104.038,4532.226
720,4407.28,5983.412,7399.809,5325.621,3978.055,5223.12,7108.32,4469.27,3297.077,7693.026,6606.591,4500.587,4871.216,3953.629,10998.773,5862.227,3901.887,4592.949
740,4484.755,6117.06,7414.556,5345.121,3987.98,5189.572,7286.01,4646.372,3305.032,7817.455,6731.351,4312.969,4934.979,3823.876,11087.145,5868.206,4053.975,4605.73
760,4534.307,6128.044,7547.293,5424.484,3994.766,5202.164,7303.175,4542.934,3372.34,7609.333,6589.197,4401.959,4921.794,3872.052,10994.907,5833.845,3953.188,4747.745
780,4441,6033.016,7482.529,5316.195,4077.082,5217.735,7438.917,4574.445,3253.968,7371.199,6587.518,4451.948,5077.567,3812.835,10963.64,5909.423,3827.288,4679.241
800,4332.622,6026.658,7488.476,5235.449,4027.941,5302.351,7415.752,4677.511,3145.064,7411.949,6609.044,4304.103,4930.433,3855.093,11116.186,5932.248,3969.137,4664.547
820,4370.044,6099.94,7516.773,5208.145,4053.816,5332.495,7440.99,4518.475,3326.051,7578.724,6440.27,4238.732,4804.969,3870.773,11197.433,5852.021,3858.55,4553.029
840,4333.44,6105.867,7428.302,5259.082,4026.992,5275.048,7397.557,4498.299,3209.711,7386.59,6417.518,4207.093,4970.649,3879.278,11214.154,5846,3829.462,4572.934
860,4339.289,6168.633,7415.489,5274.305,4061.801,5333.173,7551.145,4578.854,3349.558,7551.75,6395.985,4218.145,4879.216,3834.907,11228.588,5946.969,4008.312,4374.92
880,4375.213,6131.326,7403.867,5325.668,4043.191,5182.418,7415.691,4624.898,3247.423,7563.211,6216.205,4263.752,4964.773,3974.608,11199.351,5855.103,3874.25,4304.876
900,4334.52,6220.522,7352.187,5297.594,4072.324,5136.072,7416.371,4509.497,3357.391,7613.167,6169.205,4213.454,4857.237,3910.876,11196.475,5907.948,3901.15,4347.963
920,4360.733,6166.854,7410.884,5397.562,3996.074,5068.524,7543.928,4413.956,3327.737,7598.968,5979.643,4215.041,4932.103,3978.608,11027.175,5701.598,3819.137,4411.81
940,4356.822,6206.728,7306.498,5446.121,4102.086,5101.64,7497.248,4552.971,3324.526,7513.019,6320.518,4359.876,4948.237,3932.217,11178.753,5659.505,4120.888,4330.664
960,4410.355,6291.453,7457.422,5353.242,4123.527,5140.265,7478.516,4493.168,3413.737,7499.776,6370.606,4103.99,4980.608,3893.041,11199,5737.031,4378.362,4476.299
