time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
580,3051.182,2501.642,4793.093,3473.98,3193.812,2904.101,2838.526,2026.81,2892.16,2500.878,3473.08,1477.897,1891.546,1878.711,2255.814,2992.443,3551.95,3225.672
600,3089.16,2482.94,4799.044,3539.008,3212.473,2831.861,2870.866,1932.277,2921.122,2499.417,3486.547,1700.711,1869.072,1823.495,2337.351,2905.804,3526.15,3340.095
620,3068,2385.402,4810.916,3528.391,3159.781,2885.716,2813.536,2083.328,2882.711,2505.346,3514.146,1548.742,1903.567,1653.814,2342.804,2898.299,3411.525,3258.723
640,2947.609,2374.279,4823.645,3547.926,3223.836,2851.529,2732.598,1995.015,2964.301,2558.897,3443.65,1456.66,1853.258,1746.268,2392.794,2960.608,3382.95,3196.117
660,2890.604,2339.003,4856.618,3447.168,3158.582,2840.702,2647.33,1855.474,2805.385,2683.526,3446.569,1462.32,1892.897,1795.639,2281.103,2917.68,3279.038,3135.051
680,2815.355,2271.396,4829.022,3491.508,3217.562,2781.12,2932.175,1914.723,2796.974,2703.679,3510.927,1455.083,1911.412,1769.948,2342.34,2866.948,3301.775,3001.715
700,2773.587,2309.051,4778.369,3439.332,3102.414,2708.289,2767.33,1833.92,2775.231,2779.596,3417.54,1430.155,1984.021,1863.835,2400.979,2752.629,2971.663,2822.876
720,2848.253,2320.297,4919.805,3473.973,3109.043,2611.298,2778.753,1968.854,2877.442,2692.821,3434.737,1349.433,1902.041,1789.917,2378.598,2684.691,3027.062,2880.328
740,2817.302,2309.294,4944.027,3424.215,3156.676,2595.293,2771.639,1937.891,2881.763,2669.173,3372.825,1352.278,1868.938,1824.68,2385.783,2626.278,3066.225,2815.839
760,2832.48,2321.747,4903.467,3459.812,3111.633,2504.822,2771.907,1935.54,2779.276,2618.282,3239.285,1468.66,1945.577,1857.01,2394.546,2662.66,2921.488,2871.577
780,2786.293,2328.943,4917.476,3381.879,3109.289,2679.639,2765.567,1926.051,2782.327,2701.385,3389.146,1390.65,2116.814,1832.165,2523.309,2867,2888.837,2780.022
800,2842.244,2433.775,4949.142,3432.676,3131.465,2630.289,2764.258,1895.672,2785.545,2795.763,3369,1457.783,2059.649,2002.742,2512.258,2678.062,2937.262,2816.19
820,2816.284,2370.864,5002.049,3391.34,3093.348,2620.635,2888.258,1857.109,2766.904,2709.365,3285.139,1467.381,1933.35,2040.546,2531.072,2743.464,2890.962,2792.073
840,2799.444,2352.481,4999.769,3410.715,3042.625,2731.856,2687.175,1878.328,2831.359,2774.968,3421.489,1482.691,2132.619,1928.134,2704.959,2650.031,2930.675,2688.088
860,2815.147,2504.282,5009.542,3393.125,3056.031,2770.798,2728.691,1776.219,2675.744,2759.596,3254.292,1474.124,2113.454,2024.062,2599.423,2792.464,2929.85,2620.416
880,2809.049,2452.329,5067.689,3403.875,3015.062,2747.731,2714.495,1885.088,2624.269,2741.564,3373.38,1466.938,2194.392,1991.062,2515.361,2711.66,2821.5,2601.416
900,2843.396,2516.959,5040.378,3398.504,3018.613,2848.726,2715.113,1874.343,2745.795,2689.917,3338.81,1433.35,2044.68,2062.959,2456.134,2737.289,2834.188,2596.285
920,2812.204,2462.823,5173.725,3391.191,2938.242,2806.144,2652.247,1775.161,2769.231,2695.026,3406.044,1410.041,2172.845,2019.134,2582.959,2770.258,2721.45,2527.883
940,2867.573,2470.171,5101.649,3336.727,2994.191,2721.091,2731.031,1878.657,2732.923,2841.923,3390.781,1528.186,2171.392,2120.237,2403.381,2763.917,3029.825,2461.343
960,2861.396,2443.494,5185.053,3370.539,2985.547,2832.159,2759.165,1805.409,2800.051,2796.051,3418.693,1452.526,2176,2062.237,2465.732,2709.165,3043.488,2420.496
