time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
35,2717.691,2576.358,3033.103,2592.726,1579.717,1550.006,1948.095,3231.95,1380.911,1615.857,2598.977,1643.596,2226.529,1662.299,758.375
36,2825.731,2603.327,3084.266,2496.341,1785.294,1553.298,1863.713,3202.653,1386.531,1634.457,2552.971,1786.463,2339.894,1760.987,819.214
37,2989.645,2590.281,3576.791,2376.933,1807.756,1565.369,1866.218,3204.059,1545.018,1667.713,2560.697,1855.159,2313.002,1729.165,861.468
38,3084.272,2649.444,3858.395,2285.471,1648.065,1458.219,1874.905,3241.663,1483.975,1586.02,2751.659,1905.045,2253.517,1806.229,1139.038
39,3317.39,2631.461,3869.33,2568.399,1480.522,1432.667,1891.568,3271.511,1385.576,1587.144,2974.835,2046.264,2187.57,1814.773,1090.309
40,3102.229,2734.158,3630.49,2367.697,1413.437,1474.435,1887.635,3157.365,1364.921,1729.437,3085.697,2090.257,2204.91,1918.456,1405.067
41,2826.903,2627.095,3845.269,2365.567,1470.243,1442.539,1881.012,3175.262,1482.558,1714.489,3189.289,2081.523,2137.953,1835.066,1161.409
42,2830.86,2632.332,3788.456,2550.726,1502.256,1454.598,1976.011,3232.89,1534.344,1589.9,3056.666,2086.798,2108.351,1773.032,1182.732
43,2897.65,2605.476,3904.877,2500.962,1475.111,1556.754,1948.635,3256.465,1560.412,1556.635,3027.277,2146.449,2087.267,1772.309,1144.012
44,3027.049,2525.897,4185.069,2630.428,1563.083,1631.778,2012.777,3422.364,1512.604,1692.385,2602.92,2186.924,2120.497,1765.258,1068.862
45,2813.883,2538.693,4305.212,2380.803,1727.787,1488.489,1998.941,3413.675,1423.33,1533.02,2541.227,2212.119,2086.455,1752.373,975.981
46,2784.519,2724.868,4394.298,2457.534,1875.522,1589.387,2024.729,3292.537,1404.348,1607.069,2643.7,2265.271,2083.343,1788.494,940.736
47,2799.576,2761.43,4340.622,2356.981,1830.35,1595.274,1985.277,3278.866,1332.605,1634.9,2785.036,2221.152,2019.744,1733.141,896.447
48,2672.84,2661.659,4290.301,2527.159,1843.974,1615.33,1968.418,3330.656,1289.684,1624.487,2672.565,2253.385,2074.841,1725.869,973.679
49,2486.937,2599.275,4328.791,2595.572,1722.654,1557.344,1977.411,3380.508,1509.864,1628.631,2617.279,2190.416,2092.576,1657.023,867.221
50,2318.264,2695.484,4289.607,2561.327,1422.765,1562.62,1969.045,3447.62,1446.956,1704.117,2589.563,2209.371,2099.163,1702.399,889.841
51,2338.45,2647.765,4269.845,2645.861,1424.904,1581.204,2064.612,3502.027,1414.348,1666.163,2718.324,2116.157,2078.23,1733.288,836.929
52,2175.53,2567.874,4203.903,2566.019,1365.219,1526.172,2068.002,3672.692,1396.523,1618.25,2639.239,2185.727,2004.536,1676.564,782.468
53,2165.169,2588.814,4137.083,2531.957,1353.174,1619.804,2003.582,3637.068,1367.839,1710.209,2710.421,2177.428,1989.159,1724.518,867.406
54,2151.542,2664.069,4034.777,2554.404,1318.769,1554.48,2050.525,3606.137,1280.557,1684.256,2651.345,2177.368,2014.518,1736.258,768.751
55,2124.705,2628.814,4013.464,2461.793,1349.037,1645.402,2002.546,3679.501,1289.914,1792.411,2721.158,2185.914,2002.72,1793.163,804.952
56,1956.023,2528.496,3995.284,2535.702,1387.459,1634.826,2042.195,3744.272,1282.382,1683.589,2834.889,2125.116,2031.669,1691.604,785.254
57,2033.648,2597.183,3883.742,2615.625,1323.302,1443.765,1925.633,3628.877,1206.877,1612.228,2801.473,2107.368,2007.762,1685.075,804.169
