time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,1930.745,2043.768,2208.102,2643.24,1743.776,1529.843,1841.684,731.249,1348.433,3321.027,3284.204,3020.236,4125.727,3068.281,1751.117,2371.266,2302.424,2195.041,3122.92,2876.043,2344.599
2,1933.513,2063.481,2148.759,2649.676,1751.701,1460.15,1729.272,727.195,1351.293,3183.338,3279.778,2961.832,4154.102,3080.977,1749.48,2336.223,2176.968,2099.955,3098.45,2901.591,2163.051
4,1464.284,1192.203,1396.131,1675.653,976.823,1043.853,1148.222,439.499,663.558,2252.858,2200.173,1758.144,2656.609,2240.492,1438.328,1343.078,1601.446,1454.689,2000.988,1771.5,1618.418
6,1498.771,1180.272,1285.109,1462.831,878.529,987.164,1090.684,432.479,746.548,2163.4,2137.098,1735.197,2818.414,2183.945,1450.473,1382.285,1543.18,1402.748,1765.237,1738.567,1580.729
8,1480.88,1122.92,1182.343,1295.609,876.13,1005.082,1031.908,406.077,729.543,1902.098,1947,1595.029,2461.922,2011.566,1364.746,1376.812,1414.566,1267.877,1525.675,1580.236,1386.282
10,1441.109,982.226,1013.197,1152.747,793.956,901.287,979.095,419.072,670.524,1712.991,1709.076,1394.284,2142.789,1925.809,1319.707,1234.914,1323.066,1221.849,1499.274,1473.014,1270.164
12,1503.659,959.888,1131.161,1195.293,821.086,929.297,999.304,377.307,558.13,1644.249,1556.991,1294.692,1930.113,1850.449,1319.504,1338.176,1239.19,1166.767,1499.869,1516.255,1257.989
14,1533.054,938.481,1072.168,1153.156,762.745,887.048,998.877,367.186,661.837,1554.724,1559.689,1228.827,1823.855,1776.562,1300.383,1301.75,1196.551,1128.583,1381.838,1428.596,1140.384
16,1650.931,913.868,984.102,1096.844,757.018,897,968.519,346.765,633.082,1530.422,1533.12,1232.952,1983.297,1733.922,1197.336,1363.289,1173.386,1033.088,1431.108,1435.832,1169.215
18,1673.791,853.221,1038.102,1113.422,682.065,883.143,875.218,342.903,628.303,1516.724,1558.32,1163.361,1923.844,1719.598,1231.566,1288.145,1063.813,1046.558,1369.18,1466.817,1049.328
20,1607.347,833.857,1021.737,1143.138,664.383,1036.747,933.402,388.487,615.37,1554.356,1493.738,1145.875,1920.109,1656.016,1221.379,1337.859,1051.965,1090.611,1276.137,1311.005,975.74
22,1563.077,855.395,945.876,1075.364,642.195,926.918,898.171,345.676,610.837,1537.533,1512.253,1050.471,1856.559,1632.859,1314.75,1048.09,990.396,1083.033,1264.832,1338.707,994.91
24,1463.281,848.65,979.832,1130.929,667.089,969.768,845.307,355.04,565.101,1532.942,1523.773,1076.389,1913.695,1604.695,1291.891,1044.719,990.43,1097.29,1190.708,1324.389,955.554
26,1462.352,895.456,1046.861,1067.591,693.901,972.72,818.348,399.086,572.875,1547.796,1434.316,1033.471,1957.434,1533.438,1287.227,1054.52,997.209,1148.928,1217.665,1427.529,933.814
28,1494.691,950.891,1110.818,1124.813,631.107,951.887,831.158,360.043,518.481,1525.582,1366.969,947.173,1900.305,1552.289,1222.523,999.738,950.361,1080.135,1179.339,1328.351,954.373
30,1525.404,975.905,1100.358,1218.773,695.641,957.922,904.43,365.158,536.505,1612.218,1329.173,1029.808,1930.109,1571.859,1196.754,1122.422,881.807,1097.978,1180.176,1345.293,1013.814
32,1550.384,1007.318,1094.854,1230.747,657.672,1016.881,913.658,318.266,526.538,1508.827,1344.582,996.553,1935.707,1666.535,1150.227,985.32,925.013,1190.186,1240.912,1273.808,1029.458
34,1592.006,979.301,1090.584,1167.444,620.888,1008.898,842.943,368.642,557.072,1632.138,1403.36,1004.659,1952.887,1631.062,1282.996,984.746,970.165,1205.857,1269.761,1238.337,1158.056
36,1548.054,994.054,1107.438,1158.844,623.927,938.717,829.263,370.476,556.827,1627.058,1567.756,977.51,1906.016,1664.629,1314.66,976.109,931.991,1174.313,1283.71,1159.721,1136.373
38,1692.14,941.006,1173.518,1233.524,661.021,1044.116,802.392,364.524,534.764,1641.404,1413.036,1035.322,1869.434,1628.883,1259.949,967.191,949.481,1268.509,1318.466,1184.212,1230.282
40,1770.327,933.132,1121.891,1227.093,602.534,1077.686,873.696,384.579,594.428,1737.84,1447.702,970.442,1938.148,1594.984,1318.793,977.176,910.149,1203.593,1264.354,1151.841,1310.412
42,1673.997,969.086,1102.161,1254.222,686.63,952.488,875.854,304.066,560.221,1751.596,1309.787,953.471,1994.625,1618.328,1187.328,966.379,987.608,1210.207,1308.198,1030.125,1247.644
44,1711.275,978.579,1059.474,1288.489,649.094,1007.805,954.706,319.246,585.399,1708.88,1331.396,1035.197,1925.191,1649.633,1135.473,892.031,1008.924,1166.438,1292.059,1022.596,1169.271
46,1667.817,1063.301,1146.431,1483.147,706.698,1025.14,915.304,389.287,639.178,1713.027,1364.053,1025.933,2005.414,1572.496,1228.398,1035.418,1029.801,1210.716,1270.581,1091.438,1108.22
48,1638.507,1079.375,1127.912,1376.698,654.062,965.713,852.468,374.499,621.202,1770.507,1375.978,1079.332,2077.023,1716.656,1378.012,983.008,984.873,1227.286,1337.16,1034.293,1226.056
50,1635.728,1003.255,1136.708,1092.769,578.432,979.13,889.44,383.693,638.587,1843.462,1378.213,955.25,2028.535,1702.977,1142.258,1044.062,914.949,1247.679,1241.288,1063.678,1112.181
52,1737.223,1041.307,1208.036,1118.453,644.852,1044.481,900.253,396.181,693.327,1822.969,1352.342,980.476,1995.461,1733.898,1214.703,1125.875,950.763,1266.605,1252.796,1052.394,1276
54,1566.891,1044.777,1230.876,1130.173,641.336,1019.225,904.766,366.06,651.976,1844.271,1296.844,960.966,2018.93,1720.379,1201.969,1147.117,942.655,1293.575,1251.54,1050.688,1327.768
56,1664.848,1118.685,1300.912,1127.347,677.43,1064.515,1006.658,402.765,737.5,1888.964,1327.258,1074.803,2102.84,1678.617,1278.164,1111.824,949.867,1240.045,1264.781,1162.625,1427.994
58,1599.011,1160.332,1326.861,1234.978,659.049,1092.386,984.544,411.51,727.125,1975.102,1272.427,1063.678,2162.23,1691.07,1289.141,1093.359,974.44,1264.632,1360.092,1148.173,1357.508
