time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23
46,1715.596,1977.423,2458.181,2549.151,973.57,1640.479,2402.129,3338.559,3100.661,1122.759,3363.333,1670.356,916.356,1491.213,1635.986,1648.207,1510.327,1855.541,1368.016,1495.88,999.484,1688.525,1261.925
48,1805.677,2057.696,2436.914,2677.404,1015.914,1639.613,2435.335,3357.209,3126.75,1336.714,3413.348,1605.964,912.453,1475.156,1576.481,1564.519,1354.938,1809.491,1280.215,1463.766,900.424,1629.405,1214.799
50,1780.211,2028.667,2464.366,2714.302,1010.863,1719.848,2503.384,3317.905,3168.973,1353.25,3361.826,1769.569,930.16,1404.236,1667.755,1641.514,1449.774,1838.763,1365.003,1538.608,989.94,1670.263,1250.007
52,1833.644,2044.829,2453.311,2788.884,1163.676,1739.47,2400.831,3251.361,3397.455,1434.33,3352.638,1787.716,988.418,1429.436,1611.038,1521.188,1471.673,1767.193,1308.37,1559.481,947.75,1738.364,1164.01
54,1822.637,2087.304,2518.378,2828.191,1151.512,1708.275,2401.759,3325.968,3434.036,1387.054,3374.913,1640.751,943.178,1516.022,1827.428,1618.394,1564.962,1789.5,1285.316,1676.174,952.934,1750.636,1186.962
56,1778.188,2027.819,2494.024,2740.031,1089.469,1696.014,2433.84,3186.553,3600.902,1232.562,3442.435,1734.796,1008.231,1615.471,1886.053,1559.317,1516.62,1668.889,1252.756,1471.494,916.56,1761.07,1154.416
58,1751.095,2111.045,2577.625,2676.769,1096.883,1702.086,2576.751,3281.39,3793.17,1234.812,3382.217,1694.213,1029.36,1489.751,1912.803,1601.827,1561.413,1691.797,1213.402,1571.285,950.87,1698.627,1104.379
60,1777.093,2102.435,2535.667,2756.68,1120.055,1716.937,2556.834,3275.372,3606.696,1279.143,3387.304,1752.422,1040.351,1511.911,1943.293,1610.688,1522.649,1721.655,1238.364,1640.592,918.117,1719.671,1140.044
62,1791.587,2169.518,2619.321,2746.964,1144.777,1686.857,2575.825,3322.986,3511.223,1281.625,3391.087,1834.058,1052.213,1531.16,1942.173,1591.466,1553.01,1701.066,1258.133,1570.633,966.658,1787.06,1112.498
64,1906.755,2154.767,2727.546,2840.173,1143.457,1758.195,2585.94,3401.006,3243.634,1362.804,3371.812,1844.6,1102.564,1538.262,1906.731,1673.673,1535.971,1715.13,1218.671,1327.873,939.149,1804.43,1150.181
66,1884.295,2191.563,2655.679,2787.027,1137.645,1733.579,2608.92,3376.542,3179.732,1341.509,3221,1847.72,1121.267,1559.298,1833.524,1774.159,1580.043,1693.693,1201.965,1158.506,939.585,1856.538,1077.816
68,1915.629,2162.976,2642.9,2715.849,1140.004,1994.88,2637.848,3488.467,3247.652,1366.991,3436.13,1869.222,1109.818,1519.796,1690.231,1840.601,1498.764,1726.171,1176.082,1245.108,918.566,1873.867,1111.471
70,1959.606,2252.853,2689.663,2727.036,1272.066,1850.146,2543.115,3505.86,3596.393,1302.5,3529.275,1929.858,1062.551,1484.738,1777.447,1797.452,1482.688,1777.32,1255.62,1170.177,924.503,1820.829,1101.509
72,1909.727,2284.594,2698.817,2667.556,1164.055,1901.788,2700.418,3558.407,3632.786,1205.554,3234.406,1811.484,1097.293,1501.316,1800.288,1775.101,1532.13,1705.614,1285.446,1176.766,917.684,1855.528,990.311
74,1972.204,2317.67,2737.489,2683.058,1158.613,1886.605,2688.12,3582.954,3697.277,1289.357,3126.623,1828.836,1148.436,1489.644,1770.365,1846.053,1498.837,1711.18,1339.041,1135.269,889.585,1908.908,1124.809
76,1928.895,2376.929,2698.173,2749.596,1207.66,2017.777,2814.043,3577.536,3930.75,1315.67,3616.826,1882.898,1247.404,1566.516,1812.659,1893.428,1530.385,1800.367,1384.978,1152.313,897.228,2039.94,1165.734
78,1990.423,2351.962,2757.409,2758.516,1238.957,2046.848,2750.693,3554.653,4027.357,1298.607,3591.899,1904.622,1258.631,1554.604,1804.361,1900.514,1716.043,1811.009,1375.908,1158.557,898.946,2082.155,1118.092
80,2021.827,2397.983,2736.254,2754.08,1275.473,2106.877,2830.464,3640.814,3951.179,1393.643,3360.493,1941.267,1277.369,1612.307,1656.663,1890.865,1594.865,1805.092,1352.484,1193.335,948.294,2113.335,1116.765
82,2034.183,2361.831,2860.297,2825.356,1279.887,2116.484,2905.192,3643.88,4008.107,1404.321,3468.696,1936.124,1240.769,1557.258,1690.601,1921.091,1584.774,1845.373,1381.636,1242.864,914.218,2188.623,1075.894
84,1999.15,2367.886,2777.454,2874.738,1333.836,1963.877,2782.089,3557.676,4089.009,1389.732,3493.913,1948.996,1212.476,1611.258,1576.663,1960.26,1643.038,1937.228,1453.513,1294.88,938.665,2092.889,1162.154
86,2031.715,2295.639,2842.926,2827.102,1269.836,2070.693,2839.375,3550.453,4118.384,1350.259,3395.116,1900.716,1239.391,1581.164,1606.678,1943.418,1590.745,1852.804,1401.266,1222.57,916.282,2110.585,1033.799
88,1982.135,2344.086,2874.508,2879.364,1385.742,2078.553,2879.109,3643.086,3960.955,1426.473,3371.507,1964.8,1194.231,1627.462,1672.111,1959.933,1724.755,2069.307,1428.301,1272.462,975.13,2110.896,1160.331
90,1944.119,2476.511,2881.287,2887.018,1457.023,2064.679,2902.413,3725.123,3923.866,1400.196,3574.87,1969.493,1240.307,1551.751,1593.13,1973.659,1624.668,1973.848,1361.133,1261.592,954.905,2091.994,1112.41
92,2065.667,2468.128,2861.865,2881.427,1431.93,2131.914,2858.668,3762.192,3940.589,1417.205,3487.536,2022.956,1290.684,1634.102,1604.519,1864.721,1738.149,1933.016,1346.725,1243.332,948.902,2217.877,1177.369
94,2013.461,2403.333,2795.34,2748.542,1435,2107.888,2827.398,3690.318,4057.5,1318.536,3104.551,1968.364,1307.249,1612.831,1610.683,1882.072,1676.562,1899.864,1446.503,1196.725,983.462,2119.722,1144.488
96,1973.565,2419.221,2805.696,2771.173,1462.387,2124.728,2875.066,3643.496,4119.884,1334.562,3164.406,1954.387,1320.751,1622.676,1577.163,1878.659,1727.784,1803.155,1364.804,1209.142,994.136,2099.535,1177.884
98,1985.466,2543.969,2782.798,2783.378,1554.809,2138.106,2886.112,3798.926,4170.241,1267.821,3109.246,1842.973,1253.787,1686.902,1654.029,1867.312,1736.788,1821.18,1400.715,1181.652,936.329,2032.285,1260.891
