time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,2659.309,2153.994,4103.419,3163.765,4050.813,1899.083,3453.133,1523.121,2856.491,2889.09,2506.481,2624.88,2544.773,2241.386,2093.699
2,2677.264,2153.152,4071.916,3109.294,3876.097,1976.465,3343.008,1549.464,2850.133,2868.781,2417.278,2520.264,2503.121,2194.313,2032.385
4,2565.857,1919.845,3697.323,3197.536,3882.121,1827.9,2897.963,1438.906,2529.2,2851.45,2381.689,2385.093,2094.534,2095.823,1865.577
6,2484.292,1805.169,3534.004,3092.642,3747.31,1834.052,2689.849,1338.892,2401.863,2797.548,2339.982,2287.417,1971.121,1992.813,1714.769
8,2475.473,1680.699,3360.616,3065.509,3685.147,1780.733,2496.276,1285.419,2334.397,2713.728,2208.959,2136.192,1890.053,1882.972,1498.622
10,2395.496,1714.756,3182.092,2873.126,3616.184,1750.413,2525.233,1317.209,2303.268,2696.693,2301.521,2173.577,1838.214,1826.054,1529.436
12,2460.696,1603.476,3121.706,2856.843,3589.142,1772.12,2462.031,1256.464,2256.718,2669.362,2302.37,2079.093,1771.291,1884.136,1443.821
14,2530.994,1563.791,3178.519,2998.72,3545.326,1818.774,2367.446,1291.26,2235.73,2702.595,2293.119,2065.88,1712.666,1839.184,1385.628
16,2466.673,1558.158,2956.211,3062.898,3533.939,1762.487,2341.454,1222.176,2114.264,2690.583,2284.611,2020.979,1790.339,1754.709,1419.141
18,2376.372,1464.143,2830.971,2969.273,3463.191,1798.735,2250.869,1254.818,2043.503,2649.202,2323.712,2070.328,1689.475,1836.832,1400.205
20,2352.421,1545.006,2800.818,3229.208,3481.236,1762.719,2248.331,1256.961,1963.135,2667.268,2275.955,2007.335,1668.108,1756.351,1292.865
22,2314.201,1517.745,2726.356,2881.983,3431.945,1760.122,2159.765,1178.194,1926.89,2586.726,2374.027,2009.39,1680.904,1813.465,1284.782
24,2220.292,1559.393,2583.254,2832.058,3313.146,1736.3,2179.043,1235.667,1909.35,2580.474,2336.644,2038.776,1659.101,1729.503,1277.968
26,2270.481,1482.226,2501.186,2626.355,3312.672,1703.224,2140.583,1197.045,1917.258,2582.207,2241.685,1950.246,1683.198,1726.713,1289.808
28,2278.358,1420.195,2340.025,2603.539,3364.34,1637.319,2068.078,1151.781,1811.08,2563.865,2269.252,1907.276,1625.34,1659.643,1214.045
30,2272.367,1383.499,2213.885,2665.976,3400.428,1662.526,2043.616,1200.63,1842.479,2558.472,2241.503,1930.959,1519.952,1702.892,1417.282
32,2245.831,1400.943,2174.384,2616.123,3281.458,1634.957,1942.442,1130.495,1934.059,2487.288,2175.037,1863.004,1524.183,1657.364,1307.75
34,2200.315,1465.1,2169.724,2730.058,3348.428,1709.546,1889.714,1158.963,2010.121,2547.082,2221.411,1859.658,1500.043,1631.909,1315.692
36,2195.146,1444.639,2069.219,2760.509,3362.303,1660.494,1868.131,1103.912,2112.779,2513.053,2144.454,1852.768,1501.562,1568.136,1295.096
38,2109.96,1428.848,1992.286,2634.314,3290.553,1625.45,1737.139,1115.918,2023.593,2389.642,2056.72,1831.662,1425.115,1609.745,1189.538
40,2095.685,1365.802,2001.366,2547.853,3395.901,1642.02,1798.002,1132.861,2091.339,2475.591,2110.344,1863.266,1462.716,1619.409,1314.622
42,2075.837,1313.189,1884.413,2419.959,3302.088,1516.504,1797.832,1076.742,2023.577,2319.235,2089,1859.312,1372.191,1542.948,1325.321
44,2057.771,1312.384,1860.174,2362.7,3328.596,1518.302,1765.728,1110.362,2050.8,2405.119,2030.425,1797.055,1329.784,1560.979,1316.84
46,2115.375,1297.424,1946.317,2378.515,3380.75,1520.041,1725.305,1089.828,2005.724,2392.121,2016.258,1729.318,1407.085,1553.769,1309.41
48,2078.12,1267.633,1838.757,2338.857,3354.83,1511.73,1761.407,1087.274,2013.022,2360.374,2029.442,1748.048,1457.64,1585.633,1233.199
50,2003.181,1315.848,1860.613,2236.686,3320.418,1453.998,1692.675,1122.538,2054.256,2372.816,2093.022,1798.414,1468.585,1581.86,1220.699
52,2105.688,1304.653,1810.221,2199.345,3327.177,1495.524,1748.673,1070.8,1924.726,2336.912,2020.282,1721.023,1414.475,1545.633,1274.404
54,2071.304,1261.109,1771.198,2149.198,3265.971,1427.798,1767.732,1063.297,1889.544,2316.119,2034.078,1733.377,1414.372,1469.682,1218.91
56,2056.393,1264.16,1846.431,2259.092,3272.785,1434.47,1713.922,1074.423,1921.231,2265.933,2059.031,1819.041,1484.073,1515.238,1031.571
58,2014.123,1256.593,1844.507,2236.416,3233.078,1418.493,1608.583,1072.89,1999.333,2334.407,2085.847,1778.825,1466.674,1568.318,1046.16
60,1926.264,1273.461,1832.663,2064.126,3291.009,1397.841,1582.339,1111.117,1948.278,2243.971,2147.851,1750.726,1513.45,1558.612,989.891
62,2027.034,1362.223,1833.984,2212.041,3295.842,1342.059,1586.303,1122.513,1967.56,2297.407,2128.018,1752.841,1514.64,1525.934,1068.994
64,2051.977,1291.063,1819.996,1979.038,3270.189,1343.296,1602.988,1103.057,2003.376,2391.112,2206.877,1797.638,1535.933,1479.885,1087.353
66,1976.143,1327.676,1824.149,1923.829,3245.669,1363.472,1635.37,1116.906,1969.648,2358.294,2148.843,1765.633,1534.518,1510.678,1157.558
68,1965.977,1337.461,1875.431,1876.113,3184.641,1345.239,1604.025,1102.521,1999.575,2337.93,2175.62,1752.202,1493.318,1587.301,1076.994
70,1718.802,1213.017,1665.777,1741.881,2937.868,1238.078,1577.155,1031.693,1803.579,2152.519,2045.395,1596.693,1384.254,1455.185,968.897
72,1939.032,1356.077,1848.025,1729.597,3161.302,1329.944,1675.951,1156.771,1958.658,2326.041,2261.329,1760.048,1469.183,1602.122,1066.91
74,1999.544,1362.358,1806.266,1781.833,3183.085,1365.378,1682.403,1149.562,1947.452,2404.875,2255.761,1711.989,1505.607,1643.559,1103.667
76,1981.53,1365.181,1806.703,1745.522,3171.01,1380.304,1684.055,1166.237,1979.634,2317.346,2336.305,1739.59,1473.802,1684.633,1150.173
78,1986.367,1301.052,1841.102,1742.457,3149.194,1337.859,1733.875,1162.049,1915.986,2300.137,2299.636,1713.379,1457.493,1647.656,1012.481
80,2094.926,1325.307,1852.129,1845.891,3176.055,1292.802,1714.057,1223.102,1917.624,2278.652,2283.055,1751.21,1511.151,1657.326,1092.795
82,2018.662,1288.894,1823.162,1731.976,3219.704,1281.639,1721.429,1157.785,1973.675,2279.92,2260.198,1745.101,1412.028,1738.778,1065.436
84,2044.957,1310.547,1795.335,1772.331,3271.438,1300.865,1684.074,1188.98,1984.847,2407.501,2329.061,1731.469,1397.559,1597.287,1078.154
86,1965.393,1218.885,1795.992,1767.983,3221.99,1252.344,1685.487,1144.266,1965.593,2320.941,2269.311,1675.837,1395.429,1724.878,1051.314
88,1953.923,1279.384,1787.086,1776.98,3245.532,1263.152,1718.986,1148.119,1989.061,2309.323,2281.495,1749.004,1440.226,1760.602,1159.827
