time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,1730.981,1932.253,2187.711,2388.372,1540.277,1932.446,2646.006,2566.504,2768.484,1752.068,2678.654,2903.253,3615.133,1825.049,2178.333,1961.276,2077.678,2169.628,2179.519,1801.436,2286.395
2,1759.051,1836.719,2137.729,2383.956,1519.966,2058.09,2713.13,2471.956,2683.4,1711.992,2601.351,2908.263,3481.057,1645.591,1998.077,1842.494,1941.316,2093.522,2066.604,1763.596,2291.853
4,1528.474,1599.312,1775.018,2251.818,1325.701,1616.288,2504.768,2071.321,2466.844,1665.185,2388.942,2517.503,3205.383,1560.378,1856.737,1653.641,1560.718,1808.969,1703.177,1408.192,2137.079
6,1670.891,1723.979,1851.049,2251.467,1368.006,1834.107,2708.576,2189.533,2416.631,1568.161,2163.019,2524.37,3147.057,1532.013,1558.712,1487.782,1550.435,1797.659,1759.078,1318.135,1952.52
8,1570.455,1559.034,1727.865,1979.022,1377.034,1708.164,2471.785,1923.62,2474.058,1643.102,2199.663,2518.604,3008.756,1510.662,1446.987,1518.372,1629.215,1754.498,1781.174,1341.41,1871.712
10,1642.641,1529.318,1727.247,1983.672,1389.746,1767.175,2397.661,2008.409,2350.129,1662.797,2117.524,2536.728,2883.994,1495.907,1361.91,1468.218,1604.373,1726.451,1721.771,1409.378,1884.22
12,1694.904,1582.661,1779.742,2122.562,1358.588,1703.689,2314.158,1978.38,2300.009,1640.398,2178.159,2392.665,2932.063,1485.173,1368.212,1544.84,1651.757,1727.836,1820.334,1347.519,1878.915
14,1520.571,1560.06,1712.427,1984.007,1318.463,1803.379,2341.989,1911.569,2304.329,1639.74,2151.019,2408.095,2955.573,1383.707,1340.66,1409.186,1565.226,1585.761,1697.846,1371.436,1802.463
16,1408.128,1481.219,1637.289,1760.562,1267.52,1658.486,2271.78,1782.08,2400.271,1629.763,2252.356,2439.082,2942.288,1579.036,1213.353,1478.135,1503.859,1626.389,1764.543,1396.115,1836.78
18,1482.853,1450.648,1553.177,1686.204,1295.842,1600.48,2352.282,1879.438,2323.747,1589.141,2167.692,2470.259,2863.87,1496.102,1223.519,1422.154,1534.831,1566.481,1762.747,1432.763,1851.904
20,1550.288,1427.945,1563.102,1698.365,1304.791,1658.446,2420.927,2014.146,2308.462,1664.411,2167.601,2505.313,2842.858,1459.471,1230.923,1391.327,1573.192,1495.273,1838.137,1371.897,1919.593
22,1463.865,1464.812,1585.049,1676.241,1194.153,1536.966,2410.294,1872.212,2223.244,1649.763,2098.913,2478.5,2878.864,1462.138,1265.269,1334.923,1615.034,1507.058,1951.051,1491.872,1779.814
24,1406.718,1360.659,1488.747,1556.788,1207.588,1593.384,2423.972,1897.562,2224.249,1604.125,2158.221,2523.718,2790.927,1452.747,1197.314,1390.058,1544.282,1449.761,1897.935,1423.154,1746.373
26,1562.75,1350.74,1516.237,1591.62,1247.441,1631.74,2372.904,1906.65,2312.916,1614.203,2215.644,2412.399,2726.722,1491.138,1207.051,1330.474,1478.616,1488.973,1979.3,1208.801,1610.119
28,1368.558,1343.281,1498.432,1515.489,1157.113,1594.768,2389.441,2024.993,2259.698,1545.122,2157.356,2370.294,2709.744,1377.16,1176.462,1285.532,1468.893,1430.352,1865.833,1176.474,1588.034
30,1418.577,1319.602,1361.229,1423.949,1118.305,1388.136,2321.751,1957.358,2164.471,1581.633,2188.995,2312.297,2838.487,1418.702,1122.237,1261.122,1389.621,1432.625,1869.13,1153.654,1545.768
32,1476.885,1337.763,1419.732,1453.058,1187.39,1534.463,2389.153,1806.285,2152.72,1531.745,2103.846,2277.351,2757.342,1432.213,1065.397,1278.519,1494.407,1391.437,1772.379,1246.686,1557.401
34,1344.981,1352.646,1455.172,1436.234,1117.48,1528.249,2475.537,1802.416,2178.716,1530.693,2113.221,2282.642,2803.453,1486.08,1073.314,1241.038,1492.633,1406.505,1776.027,1277.801,1509.859
36,1288.487,1259.099,1357.885,1456.759,1017.023,1472.689,2457.819,1658.022,2132.338,1553.781,2106.192,2250.741,2777.016,1499.044,1093.282,1218.109,1432.52,1414.993,1645.662,1247.827,1581.542
38,1383.276,1311.536,1422.221,1413.394,1016.492,1510.763,2461.023,1710.058,2170.276,1548.411,2118.192,2329.924,2751.918,1501.231,962.359,1222.519,1376.13,1431.669,1657.474,1316.417,1674.356
40,1357.673,1279.193,1377.641,1456.35,1072.672,1396.633,2449.616,1712.971,2035.333,1509.297,2029.202,2263.544,2747.263,1463.88,1007.231,1198.397,1466.463,1398.737,1517.911,1255.59,1636.927
42,1312.135,1248.711,1420.026,1399.489,1117.277,1345.113,2469.158,1737.401,2018.587,1459.081,2027.178,2165.807,2766.652,1492.302,855.462,1188.122,1419.921,1407.628,1537.983,1219.026,1655.525
44,1259.981,1319.776,1314.286,1404.876,1106.797,1420.836,2429.226,1657.058,1959.022,1450.029,2002.173,2197.541,2698.038,1535.173,904.865,1166.949,1418.701,1280.222,1450.604,1232.154,1700.706
46,1254.647,1258.232,1373.289,1386.226,1156.949,1461.418,2432.249,1776.701,1995.769,1488.018,1977.755,2162.741,2768.047,1506.867,1080.071,1160.269,1472.164,1357.734,1512.294,1417.212,1709.605
48,1299.135,1311.38,1350.383,1341.642,1089.893,1458.034,2507.169,1739.774,1911.267,1398.245,1863.837,2192.259,2740.674,1424.751,1040.442,1206.942,1419.249,1268.553,1436.997,1406.75,1557.119
50,1197.365,1343.214,1407.424,1366.139,1048.141,1360.542,2483.023,1772.38,1945.453,1401.513,1980.962,2152.396,2737.472,1512.031,944.173,1200.865,1430.299,1255.778,1455.618,1377.077,1624.994
52,1210.673,1310.755,1339.779,1388.518,1150.339,1394.096,2476.989,1738.153,1972.147,1483.552,2026.457,2169.709,2841.405,1500.351,883.288,1252.429,1435.746,1302.44,1563.242,1353.218,1632.09
54,1207.949,1327.878,1311.055,1299.328,1110.734,1315.136,2437.915,1812.204,1978.72,1409.307,1802.144,2058.968,2895.807,1372.538,1064.577,1154.494,1487.729,1328.836,1473.87,1425.904,1740.011
56,1287.795,1405.995,1313.891,1405.117,1113.808,1434.814,2449.056,1933.657,1952.187,1434.901,1781.726,2186.44,2907.177,1466.631,929.462,1213.128,1467.119,1219.218,1535.99,1371.404,1628.554
58,1289.763,1528.133,1238.526,1329.336,1001.887,1402.785,2442.412,1926.591,1976.28,1332.159,1767.625,2089.057,2831.294,1484.898,973.487,1181.365,1480.898,1215.99,1530.515,1373.917,1610.068
60,1357.417,1506.974,1258.568,1366.467,1035.102,1275.475,2423.644,1763.029,1903.716,1318.221,1736.062,2120.911,2791.991,1402.56,1013.994,1267.801,1456.887,1294.952,1498.846,1438.474,1718.825
62,1344.506,1437.43,1215.951,1223.555,1026.977,1259.644,2393.701,1805.431,1922.138,1286.474,1847.755,2100.244,2794.272,1434.818,880.462,1263.795,1355.944,1303.635,1553.976,1411.724,1641.266
64,1382.545,1546.768,1340.591,1360.467,997.333,1365.158,2342.565,1782.022,1917.631,1329.32,1843.889,2158.222,2856.747,1487.498,894.776,1252.282,1412.898,1249.321,1472.065,1438.814,1702.616
66,1347.859,1587.648,1351.208,1306.153,1036.418,1388.062,2335.718,1650.672,1936.813,1291.422,1828.615,2168.282,2926.12,1425.138,1054.404,1311.859,1398.266,1254.819,1507.737,1453.346,1687.141
68,1402.519,1553.844,1380.62,1311.453,958.418,1399.525,2402.085,1585.839,1908.836,1321.443,1870.62,2129.927,2971.639,1412.138,929.885,1157.186,1403.927,1253.884,1431.949,1410.032,1649.305
70,1399.519,1624.333,1282.503,1315.533,1046.045,1298.328,2404.802,1605.606,1860.662,1256.268,1849.615,2202.766,2907.31,1445.302,979.481,1167.096,1400.215,1221.024,1482.812,1484.603,1696.141
72,1339.038,1689.284,1346.599,1305.796,1011.831,1295.254,2378.819,1647.533,1867.582,1379.638,1926.976,2395.674,2997.997,1498.102,981.603,1204.244,1528.616,1234.205,1465.556,1442.635,1665.424
74,1415.615,1777.518,1346.654,1307.102,1018.712,1292.254,2373.559,1550.912,1822.467,1351.693,1973.76,2273.56,3035.266,1524.702,967.673,1136.596,1552.147,1228.157,1535.232,1341.167,1948.469
76,1369.91,1787.279,1374.51,1299.766,1082.689,1287.435,2339.814,1694.073,1831.378,1394.654,1919.337,2385.75,3037.823,1537.053,1026.782,1190,1489.09,1283.287,1500.823,1372.064,1980.627
78,1352.583,1711.372,1344.786,1279.745,1005.345,1216.972,2334.531,1739.781,1830.822,1378.885,1891.697,2351.316,3097.522,1484.369,996.199,1090.147,1419.593,1218.256,1493.437,1388.096,1967.379
80,1329.564,1748.263,1392.448,1330.577,1026.904,1330.751,2302.989,1733.38,1863.907,1364.286,1964.173,2441.028,3077.522,1548.551,1034.179,1244.333,1477.09,1250.952,1516.304,1564.09,1989.898
82,1397.244,1589.279,1383.07,1233.891,1056.599,1355.599,2319.073,1716.423,1952.591,1344.992,2101.433,2451.655,3118.589,1459.684,975.147,1067.705,1486.079,1245.427,1513.451,1506.083,2094.401
84,1321.282,1637.745,1382.966,1300.533,1065.684,1381.497,2381.938,1705.701,1966.76,1370.914,2025.221,2476.782,3149.579,1478.253,971.327,1170.16,1443.26,1361.102,1480.355,1468.487,2117.955
86,1244.487,1649.805,1391.039,1352.818,1027.35,1259.373,2235.797,1531.175,1949.684,1328.753,2036.769,2491.275,3051.095,1462.391,907.603,1097.141,1442.571,1264.498,1538.283,1451.929,2075.508
88,1370.321,1641.562,1395.776,1276.372,1034.237,1408.006,2321.706,1415.343,1978.231,1334.565,1994.019,2480.177,3122.43,1555.298,977.66,1075.827,1546.356,1272.113,1543.058,1396.269,2049.836
90,1410.532,1656.51,1420.977,1287.19,1050.695,1287.819,2334.311,1502.241,1834.969,1325.188,2207.986,2478.446,3072.111,1445.356,925.167,1100.455,1482.921,1262.901,1599.352,1312.929,2098.463
92,1366.686,1719.549,1440.776,1298.015,1071.944,1289.113,2333.407,1524.555,1865.284,1335.201,2269.139,2604.509,3087.927,1431.067,948.84,987.263,1483.729,1318.737,1507.98,1355.481,2177.565
94,1212.596,1722.831,1409.708,1278.788,1008.706,1277.424,2302.102,1530.927,1876.027,1288.443,2251.255,2612.199,3065.057,1452.653,854.314,1036.301,1448.819,1261.007,1423.853,1425.904,1926.158
96,1291.788,1704.042,1407.401,1328.949,1040.418,1252.831,2343.243,1455.007,1910.302,1320.781,2305.091,2562.655,3006.589,1463.476,860.878,991.724,1429.695,1278.98,1451.857,1527.474,1920.006
98,1216.506,1704.789,1400.398,1277.197,1066.757,1413.486,2351.525,1484.606,1827.409,1276.289,2149.99,2539.924,2958.516,1400.671,812.109,904.923,1413.305,1199.512,1561.71,1504.378,1907.35
