time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22
48,1789.014,2212.048,2461.249,2012.283,1706.976,1730.631,2267.239,1948.004,1414.328,1608.851,1789.011,1549.959,1829.351,1273.509,1150.62,1265.56,1797.689,1922.707,2106.221,1457.803,1516.515,2154.577
50,1773.706,2211.089,2467.485,1946.918,1669.13,1586.15,2162.874,1825.062,1341.504,1580.98,1777.292,1556.051,1763.763,1422.104,1148.962,1235.209,1721.229,1919.837,2142.466,1514.399,1544.881,2182.025
52,1827.768,2187.201,2563.532,1838.488,1662.812,1711.819,2217.42,1959.453,1335.441,1634.974,1834.679,1631.244,1848.044,1422.405,1162.092,1245.693,1708.406,1926.284,2232.486,1452.192,1552.953,2165.211
54,1859.392,2198.782,2404.106,1945.604,1635.099,1682.567,2192.949,1933.613,1329.613,1616.33,1802.931,1502.984,1757.639,1459.494,1143.247,1142.636,1693.638,1879.24,2188.615,1390.615,1525.888,2189.838
56,1969.109,2253.703,2457.529,1858.645,1703.925,1650.829,2297.051,1957.316,1393.051,1714.309,1873.943,1574.123,1839.627,1406.199,1181.177,1150.576,1704.15,1952.111,2213.332,1456.606,1541.16,2158.462
58,1971.549,2250.191,2440.42,2008.355,1867.584,1626.392,2358.911,1933.543,1346.043,1665.112,1866.868,1580.509,1837.117,1388.196,1094.259,1191.693,1695.642,1859.942,2157.736,1522.409,1550.485,2198.509
60,2016.369,2325.123,2509.761,1989.379,1870.505,1696.403,2341.389,1891.684,1335.895,1620.135,1819.037,1605.642,1772.541,1294.851,1126.481,1224.171,1751.867,1876.452,2161.591,1460.851,1546.043,2180.675
62,1893.106,2287.829,2517.669,1968.604,1837.918,1704.331,2273.717,1923.711,1262.5,1541.421,1877.103,1663.766,1863.959,1324.07,1088.62,1199.228,1609.549,1779.462,2196.269,1525.077,1544.746,2132.452
64,1902.082,2349.181,2421.075,1856.604,1761.177,1676.515,2255.3,1851.441,1266.676,1622.235,1839.381,1701.778,1867.054,1327.405,1063.835,1145.573,1679.188,1894.688,2176.841,1465.154,1520.718,2133.438
66,1883.232,2358,2446.966,1708.058,1774.891,1683.43,2276.229,1879.109,1308.453,1561.387,1811.596,1712.316,1901.75,1333.31,1101.022,1133.766,1706.713,1906.841,2220.721,1417.24,1560.393,2116.613
68,1917.659,2524.717,2417.891,1821.43,1769.123,1653.829,2399.235,1922.539,1240.543,1569.029,1864.195,1642.123,1921.829,1325.421,1063.94,1176.861,1588.758,1975.212,2155.462,1632.365,1583.309,2094.699
70,1946.85,2486.229,2402.017,1825.276,1827.669,1645.379,2275.867,1925.645,1185.703,1588.146,1833.891,1618.13,1879.623,1233.595,1044.253,1091.848,1552.59,1872.135,2127.087,1509.197,1592.382,2086.427
72,1941.915,2559.58,2460.683,1802.782,1827.502,1720.365,2225.447,1987.148,1236.902,1651.241,1820.249,1677.377,1903.896,1198.794,1037.478,1212.68,1546.932,1904.389,2182.668,1561.87,1555.718,2081.611
74,1953.273,2687.618,2491.904,2036.802,1862.311,1659.464,2297.85,2000.203,1156.91,1622.845,1802.802,1659.902,1809.918,1235.741,1037.927,1152.934,1558.915,1945.928,2264.615,1560.899,1613.53,2135.415
76,1946.096,2717.423,2397.225,2068.584,1914.939,1602.522,2308.017,1966.812,1175.125,1635.765,1734.934,1657.946,1802.687,1215.639,1035.437,1142.715,1530.631,1921.149,2283.87,1487.37,1581.667,2123.949
78,1953.747,2758.478,2432.638,2017.652,1897.437,1676.908,2317.908,1989.336,1194.781,1598.507,1885.519,1776.573,1739.788,1248.478,1070.051,1160.25,1551.256,1928.635,2208.12,1503.308,1600.556,2177.689
80,1911.177,2774.788,2320.423,2032.741,1914.72,1598.294,2205.352,2023.133,1156.703,1576.06,1806.054,1611.367,1766.854,1192.117,1019.117,1093.725,1498.925,1894.168,2086.966,1338.683,1475.444,2107.751
82,1949.85,2728.945,2334.038,2097.13,1900.014,1632.352,2189.706,1995.688,1196.363,1636.421,1816.175,1640.503,1825.867,1218.32,1075.791,1096.525,1520.894,1911.067,2216.995,1412.827,1586.607,2186.008
84,1966.915,2590.628,2347.457,2115.007,1869.123,1663.014,2320.857,2034.641,1223.523,1536.854,1747.88,1641.136,1807.788,1162.519,997.332,1110.57,1556.092,1902.688,2146.207,1417.418,1513.796,2131.035
86,1961.461,2575.406,2416.706,2070.662,1847.068,1714.191,2344.549,1991.621,1161.016,1626.84,1833.63,1651.911,1764.63,1230.316,991.741,1115.756,1509.239,1945.394,2147.202,1490.394,1564.838,2151.321
88,1966.334,2608.092,2331.229,2039.823,1747.345,1690.59,2297.464,1940.137,1144.062,1582.284,1771.794,1551.019,1747.475,1209.661,1016.902,1034.263,1462.956,1892.471,2117.207,1450.048,1500.605,2068.56
90,1984.498,2543.829,2327.962,1961.174,1750.611,1692.512,2306.352,2020.781,1143.871,1570.888,1684.009,1611.307,1679.313,1160.994,1033.079,1085.921,1398.539,1926.721,2062.038,1393.312,1540.413,2088.041
92,2038.437,2636.276,2321.584,1986.853,1730.42,1700.167,2412.137,2091.051,1120.824,1552.527,1671.264,1563.278,1672.671,1286.291,942.551,1122.367,1451.857,1891.312,2101.043,1396.173,1454.937,2125.677
94,1944.717,2621.57,2242.519,2158.259,1774.539,1716.792,2417.823,2039.449,1059.715,1513.458,1637.639,1540.706,1749.968,1271.016,976.646,1115.668,1428.085,1905.303,2061.077,1452.043,1441.376,2111.348
96,1838.512,2368.29,2090.099,1975.027,1573.604,1574.471,2184.713,1889.023,1075.445,1489.158,1652.464,1452.392,1776.623,1249.057,949.987,1163.301,1391.096,1924.817,2076.288,1516.611,1436.689,2089.959
98,2091.638,2618.355,2311.805,2063.891,1757.563,1734.877,2285.922,2008.605,1087.141,1489.252,1655.788,1317.443,1754.003,1218.12,964.598,1144.348,1420.454,1848.447,2054.793,1468.846,1423.526,2124.988
,,,,,,,,,,,,,,,,,,,,,,
