time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,2380.69,2262.854,1302.756,2633.936,2475.333,1852.222,1431.036,1252.969,2341.506,2752.613,1729.389,2380.097,2101.25,3606.364,2352.372,2765.688
2,2418.744,2284.731,1300.974,2646.173,2498.44,1885.72,1460.796,1340.138,2369.66,2760.045,1688.889,2326.021,2114.024,3531.781,2286.831,2856.062
4,1172.946,915.712,454.365,2069.032,1162.849,604.84,996.213,664.684,921.365,1019.288,1164.196,1254.596,1450.207,1737.771,1086.573,1325.149
6,1348.747,1054.215,528.006,2109.077,1309.764,783.062,1013.698,711.373,1068.128,1225.022,1245.411,1457.993,1492.341,2040.153,1278.679,1505.582
8,1297.848,1034.269,611.141,1976.936,1375.493,842.978,1085.471,754.68,1114.827,1177.264,1313.785,1429.366,1496.058,2088.933,1327.16,1559.255
10,1316.367,969.905,498.173,1929.083,1427.924,866.12,1210.262,803.036,1054.795,939.967,1202.93,1423.276,1353.817,2184.605,1313.811,1616.885
12,1390.801,995.25,491.122,2063.686,1314.662,857.489,1212.147,780.982,1053.756,956.055,1117.867,1269.252,1296.808,2175.153,1277.12,1670.438
14,1435.541,959.639,515.814,2035.41,1487.44,825.2,1342.791,861.947,1053.051,1019.83,1050.297,1181.135,1214.827,2152.597,1269.845,1644.394
16,1484.528,971.503,513.949,1852.577,1435.964,824.84,1307.302,735.667,990.5,1002.724,1083.111,1175.682,1182.784,2243.47,1383.957,1704.827
18,1451.225,884.241,466.782,1909.346,1457.756,759.204,1293.773,747.418,1093.673,998.039,1022.272,1060.513,1234.683,2143.092,1436.842,1538.635
20,1443.937,923.354,450.417,2176.955,1411.289,766.751,1325.831,747.387,964.936,1002.732,929.13,952.309,1265.212,2049.646,1443.172,1543.519
22,1502.449,978.81,434.744,2261.212,1517.253,698.058,1322.053,673.911,945.045,1028.941,868.209,987.28,1353.375,2110.812,1452.791,1595.375
24,1395.854,966.674,432.955,2193.942,1450.667,748.449,1338.987,651.747,1040.154,985.448,867.098,991.867,1649.596,2141.534,1466.029,1714.534
26,1397.168,885.953,441.16,2203.224,1480.778,699.564,1370.636,695,984.571,907.826,777.687,919.105,1359.226,2227.09,1505.685,1975.971
28,1446.782,1016.693,491.994,2109.744,1477.004,756.058,1335.164,672.507,1006.731,915.067,772.715,940.487,1338.111,2162.595,1502.181,2192.663
30,1486.06,1029.114,398.853,2157.058,1467.636,710.764,1306.156,696.791,955.481,876.597,772.88,891.411,1366.865,2155.577,1403.917,1726.163
32,1394.38,899.142,411.962,2195.122,1428.569,721.058,1342.373,675.08,940.622,901.577,708.089,834.181,1157.346,2117.693,1466.926,1814.63
34,1404.43,910.108,426.442,2071.641,1426.556,673.2,1372.827,674.547,1003.429,840.223,797.956,917,1093.861,2117.016,1373.238,1952.087
