time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23
44,1216.04,2253.745,2635.482,1533.138,2165.097,2501.358,2194.12,2881.335,2482.092,2933.258,1726.49,2252.573,1670.816,1452.797,1431.458,1722.885,1553.742,3019.955,2369.915,1452.352,1939.269,2039.172,2387.109
46,1168.143,2229.362,2453.89,1455.063,2156.98,2405.344,2113.338,2684.775,2430.552,2782.581,1700.87,2159.731,1702.113,1422.656,1322.587,1619.493,1503.928,3034.213,2192.164,1382.507,1836.685,1944.903,2262.739
48,1241.014,2167.747,2391.097,1483.347,2191.338,2438.811,2263.974,2557.516,2439.677,2884.515,1720.005,2184.762,1566.023,1278.009,1251.135,1634.662,1477.284,2968.548,2221.955,1388.742,1692.948,1908.063,2221.725
50,1079.507,2199.799,2425.028,1552.619,2097.344,2387.381,2303.292,2627.225,2490.91,2808.047,1620.51,2158.496,1603.484,1285.223,1291.226,1631.401,1542.109,2897.838,2183.203,1368.656,1760.656,1971.53,2293.507
52,1082.02,2192.445,2469.084,1473.232,2131.083,2316.16,2350.112,2658.897,2520.438,2854.528,1705.899,2177.332,1587.098,1310.338,1271.782,1628.989,1598.946,2925.417,2256.384,1416.484,1776.355,2038.585,2245.94
54,1093.88,2285.32,2451.19,1492.974,2181.456,2412.519,2316.304,2700.81,2572.025,2837.07,1796.438,2134.92,1592.098,1376.269,1354.367,1662.622,1673.089,2915.45,2275.226,1476.96,1772.533,2021.129,2220.077
56,1133.063,2239.492,2455.032,1542.046,2225.258,2446.888,2420.301,2614.161,2592.699,2827.873,1736.553,2200.146,1583.055,1295.123,1395.567,1621.143,1667.693,2923.607,2544.373,1427.736,1842.693,2079.888,2278.198
58,1101.948,2229.284,2366.239,1477.223,2101.166,2432.072,2361.794,2656.194,2591.62,2910.585,1738.159,2210.585,1519.633,1279.587,1353.215,1598.011,1637.874,2864.873,2361.395,1409.539,1788.06,2061.45,2246.576
60,1106.269,2306.247,2436.252,1439.387,2188.307,2406.335,2448.014,2725.513,2593.871,2875.098,1760.284,2265.132,1490.16,1340.089,1396.559,1622.003,1653.954,2954.082,2386.65,1484.364,1766.318,2171.226,2200.034
62,1163.989,2182.135,2430.057,1463.318,2204.877,2377.739,2414.585,2636.908,2649.2,2865.654,1800.495,2194.564,1557.68,1388.009,1470.269,1667.092,1610.407,2902.914,2453.107,1431.189,1717.284,2221.398,2106.828
64,1127.943,2209.07,2470.558,1424.756,2225.106,2416.126,2422.338,2611.083,2598.384,2964.102,1902.654,2261.054,1596.652,1393.702,1391.739,1703.702,1662.814,2902.945,2492.678,1413.92,1709.645,2233.295,2125.791
66,1179.788,2212.69,2384.805,1458.315,2218.203,2393.467,2372.745,2679.935,2615.906,2861.943,1931.404,2247.226,1593.227,1330.103,1454.894,1647.206,1650.771,2849.973,2455.768,1405.441,1726.473,2252.269,2233.444
68,1152.218,2246.529,2422.253,1435.221,2188.447,2521.888,2458.573,2620.319,2721.538,2842.186,1902.635,2257.215,1614.664,1348.98,1508.375,1652.138,1691.226,2852.055,2475.599,1472.862,1755.418,2259.203,2201.736
70,1173.097,2216.924,2370.045,1500.785,2263.372,2460.805,2455.533,2644.324,2756.521,2938.765,1875.553,2272.341,1552.105,1342.072,1517.888,1684.848,1702.53,2944.969,2538.26,1438.759,1755.797,2176.178,2087.378
72,1260.519,2248.865,2423.429,1514.023,2245.398,2420.756,2437.476,2745.129,2782.37,2816.91,1925.5,2220.516,1516.465,1362.321,1488.937,1708.885,1627.759,2942.771,2488.305,1355.106,1755.57,2241.865,2150.112
74,1167.507,2204.326,2309.269,1394.49,2164.029,2429.777,2408.315,2773.103,2708.331,2823.393,2067.712,2237.384,1579.336,1398.132,1508.516,1705.59,1633.805,3012.084,2522.718,1377.115,1902.63,2265.794,2160.063
76,1221.252,2165.943,2342.458,1422.017,2266.564,2451.052,2343.049,2776.717,2669.779,2804.779,1971.957,2233.335,1541.117,1304.206,1593.083,1686.49,1610.112,3010.2,2524.616,1329.59,1974.415,2287.989,2131.221
78,1203.885,2185.805,2312.75,1447.352,2286.312,2375.221,2365.596,2600.067,2676.91,2732.892,1947.822,2187.269,1478.938,1264.533,1552.596,1710.232,1640.315,2952.444,2349.627,1338.968,1967.149,2251.235,2099.699
80,1252.831,2218.263,2311.131,1433.155,2322.699,2363.338,2399.398,2670.371,2755.446,2779.753,2110.231,2242.553,1582.512,1264.779,1521.08,1706.467,1688.315,2964.143,2529.819,1304.295,1939.083,2192.567,2088.413
82,1152.874,2218.987,2333.597,1371.181,2298.728,2304.209,2292.607,2609.134,2712.703,2829.517,2088.389,2288.814,1430.008,1247.298,1525.928,1660.226,1624.456,2933.56,2521.52,1323.341,1925.88,2144.585,2030.622
84,1153.966,2145.911,2273.565,1314.782,2239.536,2325.605,2366.576,2625.714,2778.595,2799.949,2005.154,2226.255,1442.898,1212.361,1521.645,1591.158,1629.453,2937.56,2464.814,1335.662,1824.851,2116.63,1953.742
86,1152.705,2147.93,2285.565,1408.691,2256.499,2388.138,2358.413,2505.605,2744.802,2797.906,2033.832,2191.456,1388.492,1292.086,1542.725,1587.659,1641.289,2936.685,2489.684,1342.444,1880.745,2079.533,1999.37
88,1095.573,2135.208,2259.338,1376.252,2232.883,2357.521,2476.963,2574.105,2777.652,2758.46,2056.673,2222.493,1413.668,1227.301,1565.264,1682.556,1658.155,2971.677,2466.746,1344.458,1949.097,2064.699,1982.069
90,1094.817,2229.482,2204.68,1394.438,2207.622,2348.014,2431.9,2541.654,2763.098,2748.086,2081.12,2296.765,1424.629,1309.126,1627.433,1636.398,1620.928,2974.679,2516.384,1340.67,1968.848,2049.083,2036.971
92,1091.292,2224.51,2231.419,1405.507,2290.931,2355.607,2605.65,2595.15,2804.131,2714.233,2123.447,2291.817,1398.902,1260,1584.699,1661.37,1565.587,2981.963,2505.701,1320.315,1919.519,2025.003,2014.103
94,1087.696,2210.849,2289.662,1419.011,2221.874,2527.1,2676.355,2551.498,2840.137,2727.916,2100.207,2321.633,1371.801,1304.464,1577.928,1638.072,1567.046,2950.454,2425.452,1340.183,1858.914,2005.203,1991.599
96,1078.811,2179.453,2344.576,1362.327,2173.026,2554.123,2692.238,2520.864,2952.479,2671.16,2094.606,2248.613,1425.418,1431.63,1589.504,1659.433,1600.011,2916.8,2491.26,1343.539,1842.183,2069.676,1942.533
98,1045.321,2132.096,2408.492,1338.679,2188.742,2532.287,2580.782,2553.516,2850.272,2741.726,2022.611,2221.258,1373.781,1360.914,1531.685,1683.642,1603.679,3011.051,2490.836,1326.748,1778.453,2081.716,1965.097
100,1177,2266.935,2372.878,1366.682,2280.994,2536.92,2573.206,2487.991,3004.732,2794.252,2102.077,2267.152,1448.27,1415.45,1575.02,1661.564,1596.88,3007.548,2453.864,1376.123,1847.476,2069.083,2007.845
