time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
58,1212.819,1774.319,1294.023,1987.392,1458.875,2186.51,1820.394,4150.442,2273.803,1511.928,1782.123,1913.294,1522.273,1203.146,2515.425,3755.309,2028.75,3657.891
60,1173.491,1792.35,1276.682,1950.318,1410.617,2168.577,1858.952,3987.995,2270.168,1549.399,1684.478,1887.771,1478.997,1185.082,2441.669,3800.712,1997.344,3753.246
62,1164.648,1724.923,1221.969,1959.38,1457.504,2275.928,1791.99,3819.144,2281.995,1521.693,1728.543,1875.089,1454.044,1289.87,2463.16,3759.399,2015.371,3745.723
64,1181.823,1772.892,1244.016,2057.551,1512.707,2243.149,1797.236,3629.13,2280.188,1499.918,1662.717,1830.235,1471.307,1227.563,2412.299,3831.648,2113.793,3831.496
66,1197.345,1712.931,1285.339,2121.577,1527.918,2166.178,1776.303,3449.678,2231.755,1506.805,1812.816,1821.287,1501.495,1272.981,2368.108,3764.859,2023.453,3827.758
68,1222.345,1722.287,1349.888,2036.715,1487.633,2171.471,1807.111,3736.827,2251.486,1505.802,1755.164,1841.188,1484.608,1242.475,2420.575,3852.149,2052.516,3829.055
70,1137.341,1651.845,1353.896,2015.789,1488.137,2219.115,1906.558,3678.981,2286.808,1503.113,1810.836,1876.358,1500.195,1262.741,2383.417,3911.196,2083.773,3699.402
72,1217.962,1733.047,1335.477,1993.767,1498.715,2191.635,1914.178,3897.37,2257.659,1552.41,1841.386,1919.56,1503.792,1281.509,2341.217,3881.147,2033.695,3774.5
74,1212.539,1733.383,1315.664,2056.8,1547.012,2345.197,1877.63,3812.12,2232.274,1543.792,1811.584,1990.078,1581.341,1343.968,2332.509,3919.975,2209.543,3783.383
76,1201.341,1686.653,1330.74,2064.834,1517.699,2254.861,1843.861,3860.303,2189.635,1453.034,1801.515,1940.631,1582.113,1314.753,2434.92,3941.616,2187.129,3680.848
