time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
52,1203.588,3800.212,1374.872,880.09,904.082,1114.096,2164.183,1826.933,2226.567,3472.865,936.453,1480.458,2965.056,1428.062,779.718,2696.311,794.412,1383.242,2049.719,1087.706,1535.444
54,1169.237,3810.622,1373.699,850.435,939.827,1227.256,2142.841,1717.077,2246.99,3504.587,941.184,1458.311,2963.079,1413.379,778.356,2722.249,784.023,1385.957,2000.414,1085.386,1573.481
56,1263.713,3997.353,1287,841.65,905.543,1323.026,2262.37,1797.812,2148.433,3482.63,1001.148,1556.187,2936.463,1481.266,838.508,2715.198,799.254,1479.836,2122.539,1078.788,1647.331
58,1302.713,3916.378,1387.308,853.757,952.365,1324.25,2182.938,1768.351,2207.433,3508.788,988.641,1547.547,3072.441,1592.989,733.847,2895.266,849.565,1441.906,2142.402,1076.137,1726.956
60,1366.25,3889.096,1388.41,832,961.12,1238.038,2293.288,1744.13,2271.438,3529.351,994.297,1739.813,3112.633,1637.972,827.706,2910.232,793.107,1559.223,2172.348,1135.809,1623.594
62,1354.763,3748.301,1365.032,846.91,888.303,1259.378,2242.183,1746.962,2104.019,3410.394,1008.355,1525.907,2958.672,1617.977,712.282,2793.164,791.299,1489.367,2103.199,1027.304,1712.031
64,1418.963,3900.782,1463.865,867.181,990.082,1221.417,2312.553,1786.702,2211.798,3531.096,1057.926,1616.831,3114.808,1663.616,790.876,3010.825,802.463,1695.008,2243.77,1133.98,1851.877
66,1407.875,3965.237,1381.885,884.678,987.452,1289.551,2247.837,1833.88,2230.582,3487.567,1101.777,1589.249,3069.028,1680.554,734.571,3001.006,813.87,1594.105,2197.859,1088.874,1888.007
68,1320.875,4093.051,1310.487,970.345,837.659,1380.122,2398.101,1715.615,2351.438,3536.159,1108.039,1728.178,3095.158,1693.672,761.463,3135.079,912.514,1586.758,2210.238,1020.123,1867.553
70,1411.838,4175.071,1398.378,1031.073,628.779,1173.038,2471.404,1735.476,2340.49,3527.659,1080.059,1777.271,3099.904,1827.87,837.158,3096.226,872.085,1598.031,2294.75,1161.379,1902.56
