time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,3246.881,3709.63,5740.58,6087.044,3669.667,1930.894,2925.415
2,3288.62,3578.703,5714.779,5921.407,3538.464,1964.727,2808.783
4,3235.885,3459.943,5748.225,5880.104,3506.18,1986.106,2743.037
6,3150.146,3367.526,5761.243,5863.733,3382.785,1957.922,2761.826
8,3098.102,3105.528,5734.036,5694.72,3334.403,1952.7,2770.853
10,3121.602,3205.537,5822.4,5685.748,3324.777,2049.43,2773.675
12,3081.521,3114.529,5795.047,5548.098,3296.722,2013.027,2735.325
14,3138.552,3014.575,5680.79,5428.893,3243.669,1886.563,2702.217
16,3156.75,3000.916,5642.426,5612.056,3261.403,1943.027,2617.35
18,3070.156,3051.823,5529.866,5512.259,3362.922,2012.744,2592.002
20,3029.308,3071.484,5557.384,5563.45,3517.012,1964.713,2695.19
22,3071.979,3093.016,5553.357,5371.609,3506.601,2008.857,2649.131
24,3046.172,3052.789,5365.199,5427.5,3553.366,2020.451,2558.656
26,3106.321,3107.117,5357.522,5328.811,3484.701,2020.666,2596.025
28,3061.086,3119.599,5431.681,5492.339,3469.82,2109.123,2548.389
30,3130.443,2977.808,5493.884,5617.719,3453.364,2028.123,2591.501
32,3022.422,2988.58,5428.757,5562.741,3413.595,2097.577,2495.012
34,3076.859,2998.11,5473.154,5775.73,3327.669,1979.706,2536.982
36,3159.623,3031.433,5428.484,5861.193,3329.767,1985.744,2532.92
38,3057.524,2961.281,5411.203,5910.244,3291.323,2012.863,2570.933
40,3042.416,2873.481,5490.429,5871.504,3251.399,1956.509,2639.243
42,3041.477,2878.612,5444.685,5734.13,3187.112,1950.768,2580.661
44,3039.029,2914.094,5346.453,5698.372,3193.945,1955.782,2586.818
46,2949.643,2873.555,5251.643,5605.019,3191.139,1917.925,2492.055
48,3077.182,2917.226,5345.29,5656.846,3263.29,1958.676,2564.528
50,3155.401,3106.534,5399.118,5627.676,3184.875,1899.744,2584.732
52,3191.609,3088.195,5259.174,5444.233,3194.082,1956.399,2462.763
54,3255.32,3257.646,5302.842,5564.069,3185.108,1888.515,2495.824
56,3205.323,3235.729,5209.804,5603.433,3157.155,1897.246,2508.869
58,3184.177,3212.185,5089.259,5555.644,3212.391,1904.348,2538.059
60,3140.149,3158.714,5130.415,5718.024,3118.826,1816.891,2419.646
62,3161.167,3081.851,5134.217,5707.009,3199.055,1887.846,2491.595
64,3148.443,2981.294,5086.933,5721.213,3169.266,1810.3,2471.587
66,3223.534,2943.258,5045.299,5783.309,3160.364,1867.604,2519.714
68,3234.825,2900.183,4973.123,5648.544,3259.264,1867.498,2501.524
70,3173.442,2872.458,4913.913,5520.546,3194.337,1853.843,2436.609
72,3198.985,2854.364,4869.855,5545.602,3281.845,1871.986,2486.409
74,3220.286,2841.271,4754.453,5301.769,3205.579,1769.823,2445.517
76,3217.063,2888.365,4543.46,5408.42,3147.863,1796.44,2471.564
78,3038.282,2901.662,4558.998,5352.378,3076.387,1806.403,2455.736
80,3087.557,2880.036,4600.739,5312.85,3159.164,1819.543,2553.067
82,3044.74,2945.675,4591.321,5369.781,3110.56,1775.655,2535.188
84,2965.724,2945.247,4837.176,5220.207,3222.137,1897.652,2649.186
86,2973.188,2948.86,5096.964,5185.637,3135.937,1840.314,2489.452
88,2935.244,2966.67,5083.875,5212.702,3044.658,1780.201,2520.748
90,2883.073,2912.011,5100.627,5285.08,3057.916,1817.706,2456.757
92,2856.669,2857.531,5148.808,5278.596,3116.352,1812.369,2458.753
94,2793.047,2797.804,5137.054,5286.474,3092.204,1795.567,2369.26
96,2738.778,2842.917,5145.627,5163.28,2987.83,1733.235,2350.9
98,2785.383,2802.25,5129.603,5052.687,3077.773,1789.997,2408.609
100,2829.924,2847.06,4865.868,5095.807,3149.106,1780.201,2474.611
