time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
52,1566.711,1203.137,1111.756,1298.613,2235.456,1883.86,1436.612,1107.964,1227.036,1491.323,1713.828,2598.141,1816.926,1878.308,2662.285,2003.467,1582.566,1578.309,819.98,2699.896
54,1566.272,1188.345,1214.166,1341.699,2362.49,1631.47,1390.318,1164.914,1177.711,1376.466,1754.797,2688.562,1817.712,1938.101,2646.879,2003.014,1608.832,1654.711,804.984,2776.374
56,1541.758,1185.809,1132.854,1310.074,2220.453,1660.857,1465.487,1151.799,1264.823,1387.753,1825.844,2669.737,1798.288,1965.279,2636.328,2213.774,1601.555,1705.82,847.711,2680.537
58,1565.973,1222.635,1165.825,1333.685,2409.375,1638.33,1446.766,1118.737,1288.443,1375.169,1820.339,2753.755,1796.232,2038.471,2661.907,2055.828,1601.129,1694.617,807.898,2680.537
60,1557.054,1134.433,1211.605,1292.123,2386.794,1658.759,1348.956,1057.964,1275.612,1374.451,1831.747,2592,1789.518,1928.635,2724.473,2083.115,1642.414,1608.176,811.152,2689.371
62,1603.365,1258.119,1211.607,1302.805,2375.479,1671.713,1398.349,1080.75,1303.747,1357.378,1836.279,2610.333,1815.078,1921.231,2826.045,2084.914,1637.02,1697.375,793.199,2750.593
64,1579.986,1182.119,1180.989,1294.152,2241.819,1736.052,1417.586,1085.992,1300.302,1362.513,1870.693,2615.518,1811.277,1907.183,2735.969,1972.06,1635.25,1630.219,805.84,2826.608
66,1561.731,1140.451,1200.496,1291.355,2230.077,1642.146,1407.917,1071.172,1345.917,1410.154,1890.284,2657.865,1777.328,1940.183,2598.924,1907.479,1562.688,1634.227,835.051,2704.683
68,1614.392,1150.945,1183.974,1381.963,2183.074,1757.693,1432.435,1108.617,1300.529,1467.388,1880.589,2688.807,1790.589,1998.572,2713.316,1906.221,1567.113,1637.289,892.781,2822.976
70,1660.835,1175.263,1249.295,1404.384,2217.192,1763.527,1482.375,1062.557,1296.471,1403.208,1841.073,2756.089,1818.743,1892.928,2786.38,2003.613,1666.941,1686.504,880.789,2911.402
