time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
80,4190.98,3177.365,2188.678,1916.909,2790.784,2728.804,2687.996,3599.912,3349.395,2051.423,2002.891,4608.488,3180.625,4420.652,2811.27
82,4200.997,3223.688,2392.389,1908.481,2744.822,2656.898,2810.756,3443.102,3388.91,2094.031,2066.505,4559.986,3268.352,4458.887,2778.656
84,4264.734,3216.327,2292.043,1939.332,2705.913,2726.009,2779.729,3381.555,3288.028,2051.526,2014.99,4375.447,3192.577,4287.543,2852.879
86,4283.611,3121.221,2426.851,1828.736,2652.938,2722.564,2786.182,3684.569,3493.48,2067.171,1963.164,4460.201,3231.13,4411.07,2825.391
88,4234.775,3166.764,2343.774,2000.207,2703.731,2784.604,2840.707,3765.248,3373.006,2094.451,2082.126,4529.863,3272.235,4411.191,2869.535
90,4293.399,3256.962,2197.851,2015,2710.255,2637.396,2897.52,3804.613,3344.305,2046.451,2023.276,4446.42,3295.874,4256.746,2905.25
92,4088.212,3204.062,2264.308,1968.716,2730.476,2685.391,2994.52,3936.168,3379.282,2003.29,2045.563,4399.352,3214.362,4286.348,2754.059
94,4193.355,3271.745,2316.529,1993.005,2725.529,2635.956,2911.689,3922.197,3434.582,2025.587,1875.338,4475.232,3207.689,4277.32,2782.387
96,4200.109,3127.438,2243.481,1994.51,2752.899,2598.733,2885.644,3862.956,3408.689,1942.43,1784.382,4597.532,3137.7,4223.008,2718.523
98,4220.365,3203.524,2223.447,1959.663,2578.543,2642.489,2919.702,3870.482,3271.949,2027.195,2001.273,4518.454,3127.205,4233.184,2766.645
