time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
480,2056.416,1872.162,1550.839,3759.424,3856.825,4089.763,1952.558,2515.635,939.977,1482.526,1405.068
490,2181.781,1940.375,1552.25,3782.819,3818.693,4040.278,1955.411,2449.394,890.621,1454.804,1365.99
500,2161.81,1907.675,1653.777,3777.452,3850.693,4134.433,1968.127,2519.898,850.137,1493.289,1353.526
510,2126.803,2002.737,1592.5,3748.689,3786.496,3953.485,1961.186,2533.599,944.441,1757.515,1410.935
520,2114.752,2008.487,1643.571,3805.633,3655.321,3943.68,1947.661,2521.285,815.922,1561.052,1294.57
530,2109.825,1917.9,1594.929,3679.763,3650.445,3900.113,1917.274,2517.964,850.91,1593.969,1339.406
540,2097.394,1783.513,1670.312,3606.119,3557.693,3864.072,1957.076,2457.423,927.895,1579.299,1278.294
550,2086.467,1787.737,1646.089,3720.119,3625.036,3850.907,1980.933,2538.234,867.367,1486.124,1259.853
560,2093.007,1983.675,1588.571,3629.819,3688.423,3806.433,2011.204,2519.934,914.738,1461.402,1348.191
570,2043.737,1786.037,1563.268,3655.339,3656.81,3739.072,1992.059,2453.978,841.148,1482.258,1221.133
580,2123.036,1849.925,1553.009,3466.141,3496.445,3809.629,1931.665,2468.073,880.676,1375.515,1228.843
590,1923.664,1779.062,1579.848,3580.78,3581,3841.732,1952.888,2386.161,934.031,1474.485,1084.007
600,2019.182,1906.388,1566.205,3660.983,3624.796,3789.907,1935.963,2344.927,862.906,1529.247,1176.222
610,2003.81,1716.525,1584.688,3715.887,3623.08,3815.856,1963.98,2282.212,917.609,1500.33,1158.802
620,1921.949,1753.8,1502.241,3537.232,3595.197,3651.01,2007.939,2339.993,806.238,1369.68,1185.512
630,1920.65,1777.175,1573.58,3567.593,3546.832,3698.536,2031.278,2407.504,861.789,1463.845,1157.082
640,1973.496,1595.763,1553.196,3475.571,3561.547,3682.082,2014.945,2316.978,909.746,1348.763,1113.765
650,2016.307,1697.8,1518.58,3570.311,3530.474,3716.237,1973.2,2231.234,864.531,1311.99,1132.843
660,1907.65,1740.487,1558.393,3569.446,3456.854,3649.34,1973.462,2293.467,892.809,1363.093,1108.72
670,1943.737,1680.438,1600.929,3639.034,3560.219,3794.629,1966.708,2432.467,820.805,1426.505,1096.706
680,1892.409,1732.338,1528.08,3626.621,3462.788,3628.216,2057.769,2396.182,817.949,1310.165,1100.829
690,2002.971,1685.213,1441.482,3585.486,3604.956,3603.701,1991.751,2371.314,788.141,1348.567,988.242
700,1890.818,1791.35,1569.652,3577.825,3513.803,3536.412,2063.452,2319.299,798.652,1340.505,1060.635
