time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
380,2174.032,3354.082,1305.591,1150.328,1515.526,3913.839,1331.797,3160.327,3338.739,4371.66,4072.904,5188.224,5396.241,3109.339
390,2158.487,3360.258,1226.985,1095.839,1509.32,3924.321,1449.377,3006.808,3393.565,4286.979,4004.308,5038.327,5261.737,3079.982
400,2269.545,3391.237,1208.599,1161.526,1424.515,3842.518,1407.739,2967.077,3183.783,4387.897,3954.526,5145.769,5190.372,3109.009
410,2092.423,3405.608,1272.263,1097.146,1358.155,3871.866,1407.116,3095.173,3295.246,4300.227,4061.167,4977.474,5150.161,3137.804
420,2230.5,3127.526,1195.774,1100.058,1434.742,3847.196,1416.638,3101.365,3213.159,4283.052,3976.494,4925.545,5056.036,3119.804
430,2208.256,3347.082,1342.234,1132.774,1432.959,3887.027,1315.725,2986.577,3146.217,4200.299,3903.814,4937.776,5054.212,3098.866
440,2103.596,3318.371,1207.591,1133.438,1670.155,3648.134,1162.174,3049.096,3184.623,4295.082,3939.955,4937.391,4948.27,3054.196
450,2158.218,3183.515,1196.657,1183.029,1435.216,3753.018,1269.783,3060.962,2987.623,4141.907,3952.436,4805.026,4879.029,3132.509
460,2138.994,3166.557,1251.168,1048.701,1541.278,3677.946,1276.203,2839.192,2988.957,4081.454,3938.186,4672.724,5011.423,3111.348
470,2191.583,3212.969,1255.46,1029.577,1456.165,3714.75,1106.478,2744.096,2963.406,4021.454,3998.705,4559.994,4998.277,2905.973
480,2172.878,3236.577,1133.307,1078.978,1520.866,3742.616,1268.638,2783.365,3075.841,4008.835,3996.474,4580.449,4891.336,3023.884
490,2071.34,3166.979,1202.555,1151.321,1620.206,3740.304,1154.377,2766.904,3040.754,4039.175,3914.929,4590.333,4873.752,3008.152
500,2137.25,3114.381,1203.139,1087.577,1554.062,3688.875,1136.493,2744.25,3086.333,3981.536,3909.462,4538.41,4750.197,3013.018
510,2123.058,3119.907,1123.044,1115.511,1520.577,3617,1203.087,2648.962,3160.565,3929.216,3969.083,4516.032,4723.591,3086.232
520,2156.263,3066.423,1162.978,1065.898,1509.866,3640.348,1164.928,2762.885,3125.377,3817.753,3982.34,4504.564,4830.204,2965.411
530,2136.34,3032.32,1132.533,1112.409,1439.268,3645.009,1077.464,2802.404,3114.609,3942.062,4028.385,4495.359,4790.737,2850.83
540,2055.679,3064.742,1201.365,1103.664,1538.753,3596.375,1065.754,2813.846,3020.986,3845.577,4010.705,4494.346,4785.066,2892.348
550,2232.295,2966.299,1114.036,1125.387,1511,3601.598,1153.725,2762.404,2919.884,3828.907,4047.571,4589.91,4742.547,2908.536
560,2114.41,3067.072,1062.672,1048.416,1661.196,3587.429,1131.29,2822.154,3017.826,3883.866,4012.269,4488.013,4668.679,2908.955
570,2123.301,3061.557,1086.788,1168.927,1505.619,3614.321,1230.797,2687.096,3085.391,3827.093,4134.91,4499.032,4737.109,2888.821
580,2133.096,3055.093,1084.38,1149.387,1529.433,3455.857,1109.638,2711.096,3098.754,3721.433,4227.494,4491.532,4574.226,2784.58
590,2152.128,3033.381,1185.942,1103.591,1421.124,3505.92,1229.536,2731.423,2865.725,3714.588,4110.923,4301.615,4549.131,2881.964
600,2193.276,3047.103,1090.146,1126.365,1507.67,3591.464,1217.087,2766.404,2717.478,3835.969,3947.827,4447.199,4471.781,2900.348
610,2114.821,3213.897,1047.526,1134.912,1488,3587.509,1140.246,2646.558,2822.696,3672.557,4065.288,4536.135,4601.898,2886.634
620,2117.615,3109.33,1092.146,1198.869,1513.021,3618.911,1152.797,2658,2768.928,3714.835,4141.955,4442.686,4396.745,2893.089
630,2066.718,3131.588,1046.372,1158.985,1594.887,3484.482,1122.13,2452.596,2764.739,3633.289,4203.006,4532.551,4490.212,2815.893
640,1951.179,2977.175,1009.905,1148.153,1421.526,3288.205,1243.246,2657.019,2673.536,3416.093,4082.019,4577.66,4555.81,2915.875
650,2066.276,3039.351,1051.861,1062.394,1463.557,3503.839,1141.812,2620.519,2752.261,3625.784,4110.949,4403.038,4519.226,2827.366
660,2046.853,3108.804,1071.292,1145.372,1394.175,3473.589,1149.942,2493.154,2755.101,3649.33,4158.019,4529.135,4596.482,2981.643
670,1971.16,3006.124,955.453,1087.467,1496.062,3515.911,1261.652,2598.365,2891.71,3552.072,4076.686,4512.968,4660.387,2860.304
680,2007.577,2945.443,1078.314,1070.934,1403.577,3425.455,1078.319,2670.25,2634.348,3410.392,4203.647,4474.288,4439.942,2945.75
690,2060.872,2997.629,1040.65,1081.81,1396.041,3447.518,1147.029,2533.885,2909.681,3494.804,4299.59,4536.385,4346.577,3109.991
700,1947.756,2897.34,954.175,1138.993,1386.742,3361.196,1107.899,2587.212,3011.029,3529.216,4330.891,4465.179,4428.474,2920.062
710,2031.981,2798.052,952.212,1208.869,1471.031,3377.777,1263.783,2454.192,2723.797,3402.423,4291.487,4523.179,4451.029,2933.25
720,1876.853,2719.247,926.241,1151.54,1477.66,3472.286,1248.333,2557.308,2733.014,3398.515,4322.205,4573.103,4449.474,2821.705
730,2076.699,2795.144,1020,1081.971,1287.866,3572.946,1161.217,2372.981,2438.58,3490.031,4167.308,4610.173,4399.774,2978.107
740,2018,2848.33,1033.832,1165.438,1454.113,3467.973,1239.145,2321.442,2601.986,3542.041,4242.077,4520.487,4437.883,2916.429
750,2044.615,2763.68,1024.401,1160.766,1379.33,3376.054,1122.449,2248.538,2658.725,3316.371,4167.115,4473.199,4302.934,3096.991
760,2018.532,2994.515,1056.058,1117.401,1478.144,3400.188,1196.667,2405.577,2496.594,3440.959,4228.962,4543.096,4325.204,3045.312
770,2027.641,2650.464,995.555,1195.248,1449.577,3407.509,1162.217,2349.615,2448.768,3382.082,4237.449,4489.269,4345.774,2954.259
780,2039.25,2731.155,1024.964,1073.518,1488.237,3359.473,1208.739,2448.481,2570.71,3267.773,4359.263,4558.551,4326.584,2988.223
790,2013.494,2603.206,1050.518,1186.657,1468.031,3351.429,1213.986,2385.442,2652.507,3328.299,4316.846,4427.269,4297.453,3109.268
800,1962.885,2593.186,1057.204,1133.328,1401.763,3245.964,1221.884,2427.077,2632.174,3466.876,4355.199,4464.436,4253.511,2973.652
810,1952.397,2797.474,942.044,1145.891,1456.33,3447,1105.072,2496.481,2595.522,3337.021,4422.327,4468.596,4271.124,3103.804
820,2019.59,2845.959,1040.277,1203.861,1394.175,3391.366,1097.754,2441.942,2730.304,3262.866,4482.494,4379.718,4347.365,2987.143
830,1988.994,2802.144,1053.423,1148.394,1454.814,3235.009,1148.319,2728.346,2667.333,3250.082,4506.776,4364.66,4385.92,3031.5
840,2050.019,2749.155,1003.372,1139.088,1231.32,3358.045,1087.696,2336.385,2735.826,3251.392,4530.064,4366.891,4476.19,3081.839
850,2044.212,2818.34,1047.92,1202.92,1355.155,3402.804,1216.652,2356.346,2817.029,3229.021,4578.885,4534.455,4377.051,2908.036
860,2010.199,2693.619,957.912,1057.686,1263.113,3271.045,1048.13,2368.635,2680.826,3317.268,4484.25,4484.224,4355.788,2868.964
870,1976.519,2808.041,945.701,1148.007,1346.526,3333.741,1160.043,2492.712,2662.652,3319.948,4532.045,4508.827,4438.547,3007.911
880,2060.788,2776.928,885.927,1124.657,1341.216,3362.812,1125.507,2243.731,2693.304,3219.041,4391.09,4511.353,4249.022,3022.973
890,1998.994,2707,979.423,1130.533,1407.845,3373.152,1304.681,2139,2650.101,3299.918,4501.692,4525.397,4364.737,3026.446
900,1944.551,2697.01,966.292,1182.219,1377.361,3485.598,1105.174,2192.808,2520.391,3158.062,4551.654,4335.692,4343.102,2884.821
910,1882.231,2786.124,871.066,1136.569,1463.722,3410.884,1101.217,2242.615,2460.319,3232.206,4636.045,4606.667,4420.81,3001.009
920,2016.929,2754.144,993.825,1051.766,1427.412,3307.205,1174.174,2378.769,2723.623,3191.103,4673.083,4489.949,4551.343,3000.384
930,1983.776,2756.113,1028.847,1149.255,1373.928,3391.259,1071.768,2283.865,2737.623,3283.639,4657.641,4549.519,4362.153,2954.866
940,1854,2752.289,909.788,1122.869,1293.165,3257.723,1288.783,2515.942,2780.232,3222.01,4507.519,4482.103,4542.511,2946.17
950,1965.462,2734.794,886.993,1141.766,1341.66,3331.08,1110.319,2470.288,2680.29,3319.505,4539.462,4479.788,4497.715,2896.196
960,2079.365,2737.619,953.854,1173.766,1319.495,3342.795,1115.957,2283.596,2577.014,3360.546,4569.724,4639.096,4397.051,2990.196
