time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
1080,2610.188,903.229,982.572,1423.005,435.048,1610.57,932.102,823.652,799.254,1173.422,1852.633,943.152,1287.668,1132.434,2704.809,663.897,1110.839,1339.866,1956.381,601.504
1120,2662.893,903.615,975.601,1398.639,445.688,1658.664,949,842.633,802.273,1205.828,1960.668,960.871,1234.499,1111.113,2732.614,689.237,1188.402,1298.036,1982.725,625.229
1160,2522.214,860.19,926.062,1357.202,454.087,1607.598,916.746,893.383,808.699,1200.383,1891.57,963.599,1144.404,1138.898,2591.604,639.175,1052.741,1263.205,1987.198,604.713
1200,2467.044,855.31,959.827,1252.125,411.053,1636.77,907.121,856.566,765.328,1270.391,1867.513,923.074,1190.077,1093.086,2625.16,573.01,1078.795,1244.223,1937.728,571.596
1240,2429.31,821.375,917.202,1240.76,434.024,1627.855,1021.926,826.086,737.426,1206.812,1922.499,927.155,1194.109,1114.559,2634.505,497.144,1045.982,1302.598,1871.02,596.138
1280,2423.544,864.182,905.74,1270.12,437.091,1689.914,903.738,890.832,737.984,1205.105,1826.507,956.095,1156.189,1069.035,2641,485.629,1126.223,1259.009,1889.387,588.275
1320,2472.195,818.206,921.274,1215.62,432.899,1642.531,976.043,818.195,788.191,1142.074,1837.281,961.249,1185.453,1078.383,2649.249,669.732,1155.339,1213.598,1869.292,539.424
1360,2443.622,821.185,929.62,1265.938,418.048,1632.207,933.375,834.457,789.465,1143.926,1840.404,944.524,1160.37,1095.641,2650.212,589.031,1148.366,1233.804,1815.301,624.246
1400,2435.404,815.154,862.875,1281.087,443,1678.012,981.031,830.602,771.289,1188.074,1898.221,894.309,1175.215,1080.305,2625.341,620.041,1123.598,1224.125,1856.745,615.9
1440,2336.258,838.448,869.769,1356.312,426.476,1677.957,989.113,935.305,764.129,1129.289,1911.808,906.08,1203.911,1074.34,2595.662,566.474,1195.446,1256.062,1805.874,608.602
1480,2269.385,854.195,913.361,1345.327,415.062,1625.773,932.957,864.07,812.973,1166.992,1893.132,945.842,1214.046,1068.363,2633.382,489.351,1159.652,1176.661,1792.433,645.381
1520,2290.198,883.018,856.317,1318.115,411.207,1619.125,930.84,881.688,783.457,1145.77,1829.619,1015.777,1196.347,1016.598,2649.352,489.753,1247.312,1306.866,1758.298,587.441
1560,2280.693,885.786,967.904,1275.236,448.832,1597.527,894.766,867.09,857.609,1159.871,1916.596,998.779,1178.828,1076.027,2596.853,432.825,1232.875,1280.902,1733.201,626.16
