time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
2120,3013.112,2259.168,727.648,2187.231,2197.457,2592.091,3147.295,4361.104,1715.594,3351.546
2160,3050.241,2298.058,704.145,2182.812,2285.902,2629.281,3154.039,4459.375,1648.75,3345.71
2200,3089.994,2245.737,724.578,2088.038,2275.148,2597.607,3202.144,4544.206,1705.644,3397.447
2240,3185.501,2189.949,695.195,2109.231,2267.27,2683.438,3206.162,4493.443,1666.098,3420.904
2280,3215.636,2183.102,688.777,2185.409,2292.594,2682.453,3227.692,4434.424,1720.217,3457.338
2320,3023.653,2201.401,705.973,2160.846,2324.414,2566.234,3141.273,4483.779,1722.613,3301.655
2360,3063.261,2227.533,700.875,2183.264,2284.152,2607.38,3043.981,4511.31,1736.38,3365.911
2400,3032.633,2098.073,734.285,2139.096,2240.516,2534.159,3104.383,4430.677,1708.994,3413.334
2440,3134.708,2157.445,724.059,2128.481,2263.438,2540.789,3120.433,4388.646,1786.072,3473.816
2480,3081.106,2170.993,702.867,2218.447,2290.543,2582.083,3147.622,4374.315,1704.244,3467.02
2520,3128.702,2281.182,707.348,2181.841,2296.188,2608.193,3160.232,4484.737,1781.413,3393.437
2560,3137.255,2339.285,714.629,2167.25,2337.766,2592.034,3174.881,4538.516,1751.561,3386.16
2600,3070.587,2366.715,728.199,2204.216,2272.684,2602.331,3163.055,4390.185,1664.794,3405.437
2640,3097.278,2329.825,659.961,2205.88,2258.723,2529.208,3119.442,4389.172,1633.13,3545.577
2680,3066.135,2274.058,721.258,2216.803,2290.598,2668.945,3138.716,4374.732,1682.398,3504.321
2720,3143.596,2271.328,728.723,2253.615,2235.984,2690.026,3132.823,4387.471,1703.076,3482.881
2760,3155.819,2257.255,721.742,2283.591,2351.602,2611.521,3185.07,4370.391,1667.048,3404.799
2800,3021.883,2222.474,749.133,2222.13,2330.879,2542.766,3138.193,4464.781,1668.9,3396.051
2840,3081.702,2300.883,734.836,2210.221,2355.098,2553.891,3168.347,4466.984,1639.943,3314.87
2880,3135.828,2185.54,702.051,2339.587,2344.781,2529.948,3224.763,4478.62,1668.702,3160.167
2920,3068.705,2151.526,747.777,2357.606,2318.938,2563.974,3192.654,4572.63,1617.85,3217.853
2960,3004.41,2254.139,751.371,2227.486,2337.883,2593.542,3222.557,4513.844,1652.43,3129.823
3000,3001.963,2210.095,749.195,2231.812,2283.875,2605.719,3167.649,4569.081,1655.943,3236.181
3040,3083.341,2310.693,728.988,2262.654,2274.285,2529.93,3110.435,4412.078,1608.067,3181.85
3080,3028.96,2324.504,703.492,2225.192,2346.957,2562.5,3132.88,4380.333,1617.404,3247.403
3120,3115.536,2218.109,733.93,2223.207,2253.688,2489.604,3169.781,4467.565,1653.998,3132.205
3160,3041.688,2396.036,747.238,2327.962,2299.406,2481.362,3083.305,4327.232,1635.622,3159.935
3200,2891.295,2276.277,686.723,2257.529,2410.293,2467.078,3109.977,4305.951,1628.419,3116.222
3240,3016.183,2166.715,656.328,2276.159,2326.137,2470.617,3156.143,4331.305,1657.402,3065.147
3280,3082.527,2126.642,754.664,2260.582,2375.117,2496.315,3177.041,4313.346,1660.857,3101.952
3320,3065.774,2251.314,752.082,2339.779,2315.18,2570.82,3222.192,4354.451,1627.857,3002.3
3360,3140.1,2201.453,759.086,2295.678,2331.117,2605.12,3164.731,4355.172,1607.309,3014.635
3400,2968.189,2139.693,759.602,2191.495,2286.883,2548.841,3192.036,4287.812,1652.778,2993.829
3440,3125.181,2238.599,748.969,2324.75,2307.785,2510.315,3212.929,4143.378,1635.774,3082.317
3480,3119.55,2282.708,740.312,2414.043,2313.168,2611.406,3221.698,4189.672,1664.094,3311.089
3520,3036.616,2250.781,765.441,2292.457,2302.777,2611.711,3189.865,4186.299,1662.557,3284.587
3560,3184.645,2214.19,756.504,2313.192,2270.398,2678.82,3200.321,4335.07,1706.372,3267.986
3600,3080.358,2180.737,721.129,2275.716,2220.414,2555.693,3175.026,4259.177,1671.965,3132.85
3640,3071.272,2105.226,748.359,2287.014,2178.543,2611.771,3121.154,4321.036,1621.737,3241.331
3680,3065.324,2251.796,743.883,2344.231,2283.98,2487.716,3186.192,4266.201,1691.831,3320.215
3720,3137.516,2216.328,783.797,2386.048,2235.785,2613.104,3181.995,4263.26,1658.978,3117.205
3760,3033.35,2251.285,703.922,2322.764,2281.469,2618.357,3148.843,4322.06,1688.739,3215.857
3800,3127.774,2223.401,781.359,2349.856,2246.879,2640.146,3166.773,4451.948,1696.469,3036.553
3840,3132.069,2221.766,762.094,2343.284,2202.77,2591.646,3165.914,4304.477,1670.509,3001.584
