time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24
840,1258.301,1805.103,1775.25,1462.885,1697.571,1811.695,2412.737,1762.876,2057.146,1360.734,2082.691,1781.449,1581.918,1449.051,2350.672,3232.242,1464.455,2943.441,2278.63,3344.946,3596.413,2632.669,3630.693,1595.828
880,1302.41,1772.385,1790.429,1383.308,1636.667,1788.96,2518.438,1900.467,2044.559,1281.91,2061.031,1765.574,1570.262,1429.465,2300.16,3234.914,1451.186,2893.06,2302.18,3262.341,3499.543,2616.915,3604.456,1623.549
920,1280.647,1701.808,1687.929,1512.269,1645.706,1759.034,2368.153,1901.701,2066.278,1238.766,2016.402,1730.062,1548.602,1399.164,2262.051,3194.809,1387.038,2892.971,2268.37,3309.458,3541.317,2466.608,3651.38,1625.185
960,1239.051,1823.09,1702,1507.468,1657.079,1726.61,2498.015,1894.876,2041.519,1204.117,2121.098,1794.926,1593.441,1456.254,2314.246,3314.547,1429.237,2823.241,2327.747,3235.292,3534.747,2527.761,3630.065,1608.005
1000,1138.256,1684.474,1731.41,1509.455,1635.661,1758.13,2342.526,1898.737,1989.562,1237.363,2135.789,1803.504,1540.793,1434.531,2244.164,3170.781,1472.34,2862.467,2397.911,3263.837,3544.294,2541.137,3621.391,1633.591
1040,1280.955,1713.353,1694.038,1402.885,1628.367,1676.91,2342.08,1923.182,2022.845,1162.609,2086.82,1785.02,1518.371,1511.414,2258.43,3197.316,1488.468,2851.903,2444.218,3255.47,3602.973,2443.689,3668.451,1649.367
1080,1213.891,1630.218,1717.865,1539,1720.277,1703.39,2340.226,1946.577,1964.857,1207.57,2123.543,1774.449,1567.945,1433.086,2356.344,3150.227,1441.333,2751.183,2349.487,3139.865,3496.956,2450.403,3724.398,1663.109
1120,1283.263,1609.359,1847.987,1566.885,1705.305,1791.819,2207.679,1863.686,2033.298,1209.805,2091.824,1770.414,1537.453,1428.477,2273.031,3222.855,1419.904,2838.513,2384.383,3165.238,3461.14,2476.379,3651.917,1694.018
1160,1297.5,1737.109,1834.853,1545.91,1775.254,1855.079,2323.628,1920.847,2009.957,1162.121,2158.082,1787.434,1548.973,1428.852,2317.398,3227.453,1419.75,2812.521,2412.152,3206.799,3417.887,2452.01,3671.393,1710.729
1200,1239.103,1694.609,1813.532,1565.673,1742.311,1890.006,2375.672,1909.584,1976.553,1130.078,2109.012,1729.477,1430.02,1446.086,2193.691,3267.945,1432.885,2792.003,2430.582,3127.613,3408.778,2376.423,3668.302,1670.214
1240,1217.981,1734.058,1746.244,1488.962,1704.294,1827.655,2250.255,1907.131,2001.241,1182.059,2212.566,1834.617,1482.797,1492.172,2292.93,3302.266,1469.423,2740.819,2337.082,3124.261,3267.676,2316.809,3608.049,1737.734
1280,1317.41,1649.013,1731.987,1536.141,1725.74,1790.887,2281.328,1930.628,1939.719,1139.398,2141.016,1817.344,1388.855,1419.211,2252.359,3339.199,1418.724,2744.65,2449.658,3185.41,3310.519,2393.601,3663.448,1751.185
1320,1294.032,1678.058,1758.083,1569.423,1703.61,1858.718,2323.416,1850.577,1960.527,1144.113,2117.074,1786.77,1446.027,1389.664,2177.883,3353.809,1442.404,2713.928,2390.209,3145.811,3232.867,2380.256,3699.909,1745.328
1360,1271.647,1669.782,1728.462,1425.968,1733.633,1788.045,2339.416,1965.453,1954.754,1126.461,2170.781,1804.73,1460.414,1320.297,2211.992,3339.633,1408.449,2659.043,2420.044,3063.716,3235.259,2301.061,3711.456,1737.13
1400,1323.962,1642.032,1734.821,1452.141,1693.452,1852.684,2370.985,1888.299,1951.335,1116.816,2096.051,1764.938,1496.758,1371.883,2284.699,3360.375,1383.199,2677.312,2493.794,2991.914,3129.29,2335.597,3674.164,1712.664
1440,1258.686,1535.006,1727.429,1401.821,1798.266,1899.977,2251.679,1849.19,1994.1,1125.414,2154.199,1837.344,1457.273,1460.684,2159.332,3414.395,1420.801,2699.645,2568.5,3094.928,3060.802,2347.205,3634.031,1749.167
1480,1320.327,1633.436,1786.917,1457.891,1733.825,1827.65,2139.139,1829.978,1967.063,1115.805,2147.715,1835.863,1529.727,1415.172,2206.152,3345.82,1412.282,2615.805,2522.858,3090.287,3227.379,2339.536,3659.273,1664.414
1520,1284.237,1640.186,1729.103,1457.718,1779.056,1847.119,2343.416,1840.613,1965.275,1137.824,2164.812,1780.668,1520.031,1414.969,2247.645,3382.625,1400.769,2655.255,2582.57,3044.238,3210.638,2369.594,3599.727,1784.326
1560,1237.103,1727.026,1744.487,1521.058,1818.463,1912.237,2500.007,1962.693,1948.817,1141.914,2111.035,1819.203,1532.559,1313.828,2190.215,3301.145,1461.115,2643.298,2474.627,3026.791,3078.587,2306.679,3689.37,1732.474
1600,1206.314,1621.737,1735.821,1470.513,1691.339,1800.232,2281.745,1889.854,1978.868,1151.902,2141.027,1830.238,1516.043,1467.77,2158.84,3349.043,1422.821,2597.049,2556.519,3063.418,3155.669,2338.805,3600.727,1788.951
