time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
1240,1123.978,1803.809,2428.871,2943.05,2227.585,3892.225,1962.598,952.701,2508.719,2858.287,2220.808,1281.881,1626.196,2567.169,2658.277,1204.25,1647.384
1280,1122.196,1751.644,2448.773,2977.526,2235.691,3942.247,1979.247,967.215,2577.281,2895.761,2208.63,1232.457,1625.811,2665.294,2817.657,1289.038,1655.648
1320,1140.654,1678.307,2349.413,2963.939,2183.144,3872.793,1992.437,904.633,2564.004,2850.225,2079.341,1262.27,1587.969,2621.354,2738.088,1282.859,1590.639
1360,1100.551,1693.547,2360.373,2959.811,2252.581,3852.87,1940.943,978.435,2565.441,2744.215,2216.309,1241.932,1471.822,2632.659,2717.803,1333.353,1576.593
1400,1145.643,1673.378,2235.618,2935.324,2205.013,3868.885,1895.756,911.994,2608.574,2736.788,2258.716,1245.857,1485.559,2639.176,2568.073,1312.987,1584.625
1440,1183.306,1637.636,2366.284,3024.389,2250.191,3902.489,1932.5,989.26,2595.805,2830.382,2164.788,1286.652,1548.354,2638.681,2583.839,1318.449,1595.143
1480,1170.092,1712.898,2302.209,2990.559,2245.774,3899.947,1872.541,949.249,2551.145,2821.341,2127.968,1295.539,1635.07,2665.315,2658.263,1272.09,1590.272
1520,1152.922,1616.991,2250.227,3005.956,2175.052,3877.76,1853.351,962.994,2510.387,2768.908,2155.579,1244.788,1534.441,2670.47,2705.803,1253.814,1568.149
1560,1103.98,1672.929,2182.684,2978.019,2207.258,3842.219,1879.171,904.514,2527.555,2675.689,2148.756,1266.666,1546.548,2563.15,2749.022,1339.295,1566.183
1600,1093.096,1669.116,2165.196,3016.219,2150.718,3907.703,1898.218,845.514,2574.375,2626.024,2253.542,1211.365,1542.589,2527.33,2664.599,1267.103,1514.201
1640,1107.027,1621.8,2221.471,2956.744,2152.726,3788.197,1812.171,868.006,2483.215,2585.734,2302.702,1179.829,1562.474,2553.707,2653.985,1256.859,1601.49
1680,1072.587,1604.467,2349.502,2977.396,2179.534,3845.784,1919.829,843.785,2558.957,2582.594,2284.676,1231.549,1591.733,2589.898,2784.058,1264.019,1564.166
1720,1101.065,1608.533,2250.764,3011.965,2123.845,3829.68,1889.959,894.243,2629.387,2426.485,2244.808,1241.375,1582.407,2537.319,2756.985,1300.769,1631.931
1760,1132.808,1587.4,2292.311,2959.659,2169.395,3816.733,1972.987,862.582,2594.184,2513.986,2209.699,1225.676,1572.904,2574.189,2637.62,1229.827,1589.052
1800,1110.538,1599.996,2288.822,3020.672,2150.275,3843.334,1998.547,846.09,2596.57,2484.184,2147.011,1299.587,1672.385,2582.141,2798.905,1268.333,1663.968
1840,1123.623,1605.773,2193.796,2950.981,2173.439,3843.552,2053.753,889.294,2546.082,2545.549,2166.668,1258.546,1627.63,2602.033,2926.956,1217.192,1615.564
1880,1131.357,1629.982,2340.556,2995.252,2204.422,3818.14,2007.785,846.718,2523.68,2613.645,2154.722,1231.201,1614.531,2568.72,2952.226,1159.846,1628.275
1920,1077.277,1602.009,2239.036,2928.276,2110.236,3901.295,2009.161,863.254,2535.062,2599.498,2191.943,1303.017,1590.526,2609.681,2964.796,1270.006,1685.88
1960,1164.533,1612.809,2314.942,3008.998,2124.845,3958.103,1999.047,835.424,2489.703,2565.372,2143.232,1284.563,1510.006,2631.15,2959.81,1311.346,1712.447
2000,1101.359,1556.52,2177.729,2951.243,2125.823,3904.817,1901.873,830.345,2452.98,2414.416,2207.599,1118.119,1482.041,2595.578,3115.993,1261.891,1639.241
2040,1086.411,1593.418,2268.462,2864.176,2149.609,3966.36,1970.237,920.65,2570.801,2552.157,2286.387,1195.56,1505.978,2570.767,3022.051,1361.071,1698.258
2080,1086.426,1565.409,2216.387,2800.5,2089.751,3843.751,1999.465,910.644,2469.27,2535.945,2252.393,1210.87,1509.537,2593.846,3049.679,1361.955,1691.834
2120,1141.685,1616.876,2235.844,2946.946,2074.718,3836.781,1961.275,935.763,2554.82,2488.423,2233.596,1225.225,1514.9,2531.361,3000.036,1372.244,1682.009
2160,1084.489,1554.164,2192.542,2935.722,2148.349,3820.799,1948.332,994.531,2416.902,2474.747,2258.069,1235.515,1441.596,2554.378,2943.839,1307.045,1709.229
2200,1176.129,1714.329,2271.124,2942.583,2113.691,3853.642,2115.57,975.35,2469.926,2512.771,2275.817,1236.638,1479.256,2584.246,3094.35,1367.013,1725.043
2240,1136.538,1592.813,2190.284,2958.743,2090.017,3794.772,2110.481,918.333,2445.859,2501.768,2247.287,1225.608,1501.43,2670.996,3193.095,1391.686,1771.874
2280,1176.118,1677.449,2191.947,2975.124,2130.661,3844.225,2086.987,925.932,2512.133,2483.556,2261.734,1255.113,1351.83,2616.291,3017.314,1397.712,1718.759
2320,1074.205,1556.133,2079.418,2771.007,2025.797,3679.218,2046.196,909.158,2420.086,2488.437,2220.742,1163.058,1331.383,2525.154,2987.511,1287.064,1648.67
2360,1125.998,1593.907,2217.231,2929.02,2121.652,3838.205,2098.339,956.661,2554.781,2548.474,2237.069,1311.771,1420.435,2664.015,2992.993,1329.212,1729.917
2400,1091.502,1591.476,2222.191,2922.189,2138.715,3859.264,2169.326,934.944,2446.484,2567.99,2183.252,1246.177,1345.019,2666.519,3098.956,1342.635,1732.461
2440,1117.605,1664.88,2148.791,2940.994,2154.767,3912.581,2104.051,892.831,2485.09,2543.451,2260.653,1261.713,1337.68,2691.82,3014.818,1360.455,1712.98
2480,1087.694,1661.707,2178.849,2941.896,2125.487,3864.205,2001.816,856.169,2481.973,2467.358,2222.562,1224.133,1290.381,2594.07,3054.285,1302.5,1665.665
2520,1077.625,1664.924,2238.827,2916.58,2104.943,3789.649,1993.943,869.48,2574.727,2449.505,2258.699,1267.952,1328.372,2658.856,2953.693,1279.827,1681.467
2560,1089.904,1674.627,2237.964,2954.941,2114.627,3815.613,2040.278,978.254,2512.363,2541.096,2240.788,1253.765,1332.211,2681.698,2960.146,1426.122,1720.301
2600,1110.022,1674.671,2259.333,2998.674,2152.751,3798.507,2022.06,884.384,2443.121,2488.43,2258.794,1231.57,1282.857,2655.259,2919.015,1271.679,1706.599
2640,1160.152,1600.733,2212.72,2977.287,2108.032,3793.411,2053.146,875.04,2480.906,2523.304,2244.722,1286.529,1285.191,2626.157,2877.978,1281.314,1693.266
2680,1118.623,1631.76,2222.56,3001.643,2123.514,3781.33,2144.019,856.051,2503.305,2463.986,2242.817,1312.43,1213.615,2587.139,3111.219,1340.827,1623.479
2720,1139.205,1663.089,2289.004,2961.196,2128.911,3740.236,2255.253,982.034,2537.5,2575.273,2223.616,1266.932,1329.694,2623.831,3127.62,1353.25,1697.358
2760,1155.48,1694.742,2256.964,2983.82,2149.719,3701.225,2245.772,894.079,2460.977,2521.945,2245.378,1290.137,1223.889,2663.37,3206.686,1289.006,1668.708
2800,1147.435,1634.604,2238.333,2957.617,2202.941,3713.63,2160.883,969.599,2517.727,2432.328,2233.298,1284.198,1123.313,2569.096,3114.547,1216.231,1646.186
2840,1127.404,1607.822,2174.898,2957.089,2235.86,3775.281,2132.519,831.169,2478.176,2423.543,2214.069,1281.41,1135.785,2593.426,3138.533,1206.385,1593.765
2880,1144.058,1783.813,2140.396,2952.793,2223.654,3772.176,2108.991,825.938,2489.102,2539.041,2216.762,1234.123,1119.483,2569.989,3054.701,1216.84,1611.037
2920,1142.004,1717.973,2226.471,2952.404,2228.48,3772.236,2207.073,904.215,2613.418,2581.191,2270.238,1292.44,1137.919,2599.68,3008.847,1232.506,1690.639
2960,1180.679,1673,2184.511,2977.189,2243.549,3794.575,2166.301,856.339,2561.207,2573.556,2215.811,1280.065,1195.598,2701.713,3059.372,1299.955,1799.12
3000,1099.076,1616.444,2041.729,2874.669,2182.532,3708.855,2083.054,932.932,2405.312,2498.181,2181.774,1220.601,1126.852,2740.039,3055.161,1297.135,1753.034
3040,1172.158,1753.711,2183.516,2967.385,2238.999,3709.598,2112.756,883.757,2588.094,2503.287,2233.868,1173.679,1125.722,2695.587,2864.489,1241.878,1706.59
3080,1128.594,1679.333,2281.404,3007.335,2186.652,3736.401,2118.288,849.814,2590.695,2510.952,2281.123,1183.116,1096.976,2650.528,2829.117,1255.801,1698.693
3120,1151.455,1712.093,2244.773,2962.809,2151.828,3651.954,2106.503,773.78,2471.617,2475.608,2251.444,1255.823,1081.457,2558.089,2882.577,1164.186,1692.579
3160,1156.679,1749.498,2220.858,2975.556,2144.089,3731.278,2011.142,846.768,2544.641,2473.498,2207.917,1268.113,1051.672,2535.511,2979.307,1189.192,1655.246
3200,1179.277,1752.796,2235.076,3017.326,2146.437,3665.422,1959.073,878.266,2537.234,2467.771,2304.842,1317.98,1027.593,2540.933,2945.336,1185.269,1590.599
3240,1170.641,1765.716,2294.191,3004.113,2110.838,3638.042,2083.108,920.655,2495.305,2551.577,2262.206,1381.324,1202.354,2585.865,3007.343,1259.218,1742.653
3280,1134.549,1687.133,2252.787,2979.989,2123.154,3592.022,2083.981,953.893,2476.609,2659.993,2278.848,1388.652,1173.413,2681.435,2919.956,1299.173,1744.117
3320,1159.272,1686.213,2312.751,3061.335,2152.077,3612.965,2077.57,904.102,2483.781,2572.573,2255.332,1318.843,1138.152,2625.724,3095.723,1226.244,1636.129
3360,1137.699,1685.453,2353.662,3008.38,2116.3,3625.606,2124.149,877.52,2453.688,2576.375,2294.9,1350.263,1044.8,2568.626,3039.336,1220.66,1679.232
3400,1150.449,1723.72,2299.916,3024.481,2098.661,3616.148,2124.256,819.469,2362.27,2555.205,2269.673,1328.061,1021.244,2598.213,3144.358,1187.192,1625.711
3440,1170.4,1750.458,2277.858,3032.374,2101.581,3597.346,2104.687,820.831,2490.035,2563.488,2244.209,1401.867,986.061,2558.141,3100.606,1249.038,1548.281
3480,1125.949,1744.111,2299.671,3002.081,2084.211,3642.281,2167.215,896.531,2415.238,2582.055,2339.003,1459.788,971.256,2592.269,3067.993,1165.314,1584.16
3520,1126.312,1840.689,2397.653,2965.072,2109.872,3609.567,2295.706,961.198,2425.297,2629.137,2339.968,1521.276,1063.509,2635.083,3153.102,1184.038,1618.745
3560,1180.917,1799.862,2358.702,3057.346,2114.25,3634.183,2197.604,963.723,2400.625,2657.648,2314.281,1630.509,1205.652,2782.515,3291.606,1313.686,1686.685
3600,1137.964,1740.036,2197.929,3013.278,2071.899,3630.716,2046.244,863.898,2412.5,2578.249,2290.06,1592.242,1154.113,2711.498,3241.781,1205.564,1611.536
3640,1156.647,1787.111,2215.044,3039.909,2058.568,3567.378,1965,844.271,2380.379,2548.02,2242.957,1411.587,1058.778,2656.9,3161.029,1252.59,1540.304
3680,1132.641,1796.773,2249.884,3046.756,2042.042,3498.214,2058.573,873.452,2310.883,2576.027,2316.244,1360.051,1002.465,2632.313,3143.869,1236.506,1501.097
3720,1201.21,1767.16,2204.4,3058.374,2065.01,3581.461,2028.18,814.362,2359.359,2527.884,2264.98,1315.437,995.622,2634.75,2884.204,1235.282,1500.203
3760,1175.922,1865.031,2225.689,3101.05,2056.385,3636.082,2023.877,870.356,2463.125,2616.331,2215.86,1334.792,1006.991,2622.335,2942.182,1279.551,1514.705
3800,1143.866,1832.538,2299.022,3080.019,2051.246,3668.821,2216.051,888.91,2412.59,2628.188,2284.668,1343.747,986.739,2551.943,2859.642,1145.801,1471.003
3840,1140.638,1855.729,2288.2,3099.837,2120.433,3622.624,2336.063,1058.271,2463.094,2697.99,2256.777,1468.802,1148.702,2702.874,2916.934,1285.096,1535.226
