time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
1320,2907.265,2114.237,2267.617,2303.618,1189.514,1606.177,1089.474,1153.591,1121.464,842.807,2059.883,2718.29,1874.919,1992.636,1876.176,1913.027
1360,2826.547,2179.797,2224.656,2255.832,1174.818,1600.237,1083.286,1204.176,1074.896,845.677,2090.184,2691.001,1847.315,1995.878,1819.202,1888.732
1400,2893.307,2181.379,2245.726,2279.218,1172.232,1687.228,1052.409,1214.935,1101.616,764.49,2012.275,2647.653,1837.802,1933.401,1804.474,1881.179
1440,2873.159,2167.915,2234.739,2239.62,1172.179,1648.38,1062.904,1230.765,1126.153,788.529,1998.766,2758.401,1842.32,1950.709,1771.776,1894.075
1480,2945.448,2157.656,2275.585,2252.034,1154.266,1671.693,1027.996,1200.534,1106.916,801.974,2035.392,2729.407,1793.062,1909.273,1768.003,1844.961
1520,2931.773,2162.509,2300.166,2277.801,1186.259,1553.604,1078.755,1224.022,1137.896,824.63,1917.335,2633.155,1851.758,1834.481,1770.932,1870.332
1560,2947.169,2189.777,2229.907,2295.675,1235.674,1614.082,1068.806,1210.853,1101.763,816.391,1918.203,2640.029,1796.307,1762.195,1759.266,1860.131
1600,2916.149,2167.06,2214.41,2278.296,1192.812,1578.617,1020.609,1208.243,1107.223,739.966,1885.089,2650.431,1762.146,1789.545,1719.027,1805.444
1640,2857.946,2141.188,2214.024,2270.711,1183.087,1548.858,1020.8,1146.937,1093.409,743.146,1911.443,2717.64,1765.148,1778.153,1807.335,1824.517
1680,2896.753,2152.029,2162.469,2324.069,1200.573,1574.731,1012.861,1156.174,1061.356,788.773,1911.475,2615.021,1758.464,1749.029,1755.767,1810.15
1720,2856.537,2159.83,2181.948,2301.228,1175.618,1661.665,998.626,1166.472,1071.685,772.885,1966.547,2608.134,1741.586,1790.485,1797.374,1847.307
1760,2856.833,2171.165,2145.52,2309.76,1161.611,1549.478,999.658,1164.2,1059.62,781.753,1914.168,2534.694,1779.508,1735.029,1725.609,1801.341
1800,2796.794,2140.772,2185.826,2281.619,1228.283,1518.354,997.247,1182.012,1058.448,758.703,1878.297,2493.013,1806.44,1693.166,1725.705,1757.014
1840,2824.364,2106.897,2163.318,2300.093,1187.18,1505.003,952.188,1169.211,1057.538,772.552,1889.427,2478.429,1793.263,1703.536,1704.081,1796.995
1880,2790.388,2147.31,2191.211,2296.01,1210.747,1490.627,980.665,1219.223,1079.957,767.93,1885.544,2470.044,1744.591,1675.015,1701.4,1794.513
1920,2819.649,2137.268,2118.429,2244.97,1192.135,1544.715,962.409,1195.834,1078.732,704.497,1892.627,2495.967,1757.497,1656.836,1712.857,1768.862
1960,2778.471,2073.214,2132.553,2252.801,1186.071,1580.987,993.354,1200.178,1068.393,735.208,1820.835,2496.736,1804.448,1680.067,1723.605,1785.686
2000,2781.742,2078.145,2123.454,2282.693,1178.092,1532.19,1012.798,1204.135,1073.391,781.214,1770.728,2354.303,1698.432,1613.37,1616.165,1729.877
2040,2749.826,2082.723,2138.041,2329.879,1202.362,1542.085,993.38,1217.81,1062.376,733.357,1863.282,2493.267,1755.549,1629.232,1724.06,1776.964
2080,2662.192,2015.529,2076.059,2301.902,1148.728,1415.516,972.262,1113.505,1055.591,685.057,1811.212,2546.864,1744.378,1708.474,1702.562,1774.838
2120,2659.211,2024.545,2048.293,2235.023,1162.2,1485.57,904.822,1107.125,977.354,753.763,1770.557,2443.569,1737.87,1580.411,1628.8,1673.095
2160,2749.167,2094.967,2076.498,2306.279,1189.773,1520.291,961.421,1153.56,1066.403,795.422,1726.256,2426.121,1682.336,1546.044,1574.171,1612.911
2200,2575.422,1960.201,2028.118,2195.252,1264.573,1584.506,1019.708,1130.188,1091.591,703.586,1827.601,2549.844,1745.94,1700.909,1724.783,1722.824
2240,2695.706,2083.234,2066.898,2247.186,1309.701,1678.025,1055.599,1184.198,1111.658,778.93,1869.975,2547.455,1770.268,1688.593,1675.186,1785.919
2280,2416.297,1871.915,1873.519,2028.556,1292.48,1695.892,978.542,1174.294,1103.397,738.523,1862.652,2519.498,1772.87,1677.792,1658.576,1724.923
2320,2333.104,1845.004,1777.587,1914.527,1251.905,1686.066,959.321,1159.843,1086.342,723.609,1854.68,2521.442,1726.628,1673.843,1615.477,1709.986
2360,2644.727,2072.286,2026.401,2240.043,1287.465,1701.861,962.812,1179.147,1090.851,724.245,1844.31,2501.853,1727.57,1639.281,1688.974,1762.968
2400,2641.836,2113.261,2037.106,2213.029,1299.227,1731.611,1043.675,1198.564,1135.481,761.341,1912.187,2492.653,1716.909,1696.476,1661.214,1783.97
2440,2667.294,2155.913,2047.741,2230.707,1314.863,1705.222,1041.81,1184.814,1142.102,726.818,1859.234,2561.417,1731.232,1764.679,1665.38,1786.06
2480,2682.981,2137.859,2029.813,2205.139,1355.598,1711.699,1042.695,1181.834,1099.654,743.977,1900.671,2555.92,1767.602,1764.406,1668.995,1792.095
2520,2665.607,2106.94,2096.952,2168.761,1348.716,1755.212,973.458,1155.81,1127.018,715.94,1890.481,2511.591,1679.737,1712.963,1655.884,1738.579
2560,2641.511,2111.254,2074.966,2200.499,1373.361,1728.699,1039.73,1212.182,1105.057,756.208,1823.003,2465.108,1751.779,1711.097,1659.788,1729.191
2600,2628.545,2129.263,2091.3,2217.47,1344.556,1663.12,991.405,1151.192,1135.781,717.875,1793.326,2518.411,1704.096,1728.385,1674.583,1721.785
2640,2532.081,2045.65,2018.901,2137.012,1322.117,1646.335,975.209,1091.628,1106.742,691.557,1732.354,2492.529,1701.404,1771.99,1666.398,1722.101
2680,2493.625,2068.283,2073.697,2182.053,1327.114,1663.687,1025.906,1120.047,1126.029,741.68,1828.848,2482.186,1659.391,1692.539,1666.502,1756.962
2720,2557.14,2109.297,2044.29,2206.447,1369.708,1655.585,1028.591,1159.448,1128.63,738.057,1809.089,2491.518,1754.154,1691.617,1682.505,1766.367
2760,2553.159,2105.699,2052.336,2208.698,1321.577,1700.775,1050.679,1195.481,1156.403,761.492,1806.854,2457.873,1767.411,1783.362,1659.971,1734.872
2800,2459.51,2046.723,2013.789,2163.468,1290.215,1620.139,1004.425,1121.346,1060.02,724.487,1785.725,2417.35,1702.518,1782.872,1676.086,1728.271
2840,2477.586,2037.587,2031.326,2163.185,1353.773,1734.972,1072.415,1131.354,1142.012,764.943,1752.829,2457.356,1640.956,1810.417,1685.253,1725.598
2880,2500.06,2045.228,2015.482,2224.06,1327.215,1688.997,1034.033,1119.918,1119.121,709.193,1833.715,2439.881,1685.706,1838.221,1705.716,1792.517
2920,2369.385,1946.714,1997.499,2101.678,1331.811,1733.013,1023.231,1136.902,1093.131,750.31,1773.408,2452.394,1730.388,1809.122,1708.992,1787.081
2960,2415.669,2034.891,2049.511,2126.753,1332.934,1708.152,1021.364,1195.049,1118.319,803.578,1814.968,2442.868,1696.344,1819.286,1695.392,1740.776
3000,2413.571,2074.201,2048.607,2174.218,1398.624,1705.845,1082.033,1191.276,1187.37,813.247,1805.225,2481.68,1677.909,1849.067,1716.63,1768.436
3040,2390.453,2092.625,2043.899,2164.249,1335.468,1677.88,1139.638,1223.434,1128.029,758.435,1830.487,2519.841,1719.151,1863.583,1758.777,1750.573
3080,2363.179,2021.993,2031.692,2177.934,1361.651,1755.31,1052.276,1204.926,1146.638,780.076,1809.263,2543.112,1738.651,1865.256,1707.078,1799.412
3120,2341.68,1945.188,2047.245,2135.38,1366.531,1732.791,1117.043,1196.102,1118.72,777.328,1836.968,2480.535,1711.286,1829.81,1760.812,1752.444
3160,2406.185,2110.33,2054.851,2187.217,1354.776,1749.443,1107.202,1233.053,1150.16,739.141,1882.228,2499.656,1709.38,1854.323,1806.084,1783.149
3200,2330.518,2085.712,2083.976,2163.869,1341.923,1751.94,1091.29,1208.775,1159.618,787.299,1863.956,2494.171,1705.911,1870.703,1776.78,1757.445
3240,2334.834,2061.031,2054.412,2134.458,1328.55,1682.491,1017.638,1248.521,1105.71,728.977,1832.016,2470.335,1687.32,1900.221,1732.944,1712.926
3280,2321.576,2078.971,2012.928,2060.013,1350.583,1727.212,1042.587,1240.875,1152.808,739.695,1828.367,2393.805,1635.479,1863.446,1651.863,1597.97
3320,2325.8,2139.292,2014.222,2110.995,1302.595,1698.949,1066.769,1235.129,1130.162,716.464,1796.427,2451.315,1670.857,1867.477,1740.198,1806.392
3360,2321.49,2155.728,2036.672,2056.727,1301.561,1683.377,1039.791,1214.176,1162.847,753.544,1791.766,2515.832,1621.464,1884.378,1789.086,1761.229
3400,2244.404,1949.105,1907.567,1954.355,1299.459,1729.782,1006.881,1153.219,1168.722,756.44,1850.712,2458.292,1699.635,1920.511,1730.296,1762.681
3440,2077.211,1934.775,1826.323,1860.312,1257.737,1807.316,991.851,1160.454,1077.54,736.091,1824.032,2403.21,1654.211,1891.39,1753.627,1768.159
3480,2140.995,1961.196,1854.65,1847.616,1217.54,1625.361,1047.115,1150.403,1109.816,718.526,1759.693,2439.467,1700.266,1898.88,1734.453,1772.546
3520,2247.019,2011.475,1909.453,1953.967,1317.531,1726.155,1023.536,1202.751,1086.605,761.203,1857.301,2483.822,1708.724,1944.476,1793.582,1756.293
3560,2112.404,1959.333,1853.077,1846.332,1323.392,1706.519,1007.978,1206.45,1107.417,728.76,1774.19,2469.951,1743.375,1884.528,1785.089,1733.729
3600,2138.183,1931.824,1894.751,1881.366,1287.991,1668.487,993.196,1176.186,1102.998,699.898,1826.196,2474.037,1703.87,1951.13,1766.68,1760.4
3640,2186.8,2023.321,1872.679,1926.483,1324.761,1828.18,1075.47,1294.07,1199.127,757.646,1821.472,2558.883,1783.958,1891.617,1788.835,1816.651
3680,2150.172,2072.359,1898.314,1903.918,1347.056,1898.867,1072.151,1203.879,1185.237,741.135,1903.902,2542.907,1744.987,1902.5,1804.523,1821.053
