time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
610,6110.082,2794.763,1527.551,1597.154,1874.087,3191.212,2322.165,2544.438
620,6187.072,2699.567,1491.652,1448.712,1917.768,3124.872,2397.371,2565.212
630,6239.918,2776.268,1373.362,1591.712,1743.971,3066.968,2373.876,2575.431
640,6138.402,2744.763,1525.696,1591.846,1770.638,3127.641,2320.052,2577.029
650,6121.969,2590.969,1592.652,1518.192,1802.087,3114.429,2285.969,2583.788
660,6024.794,2640.485,1412.377,1619.231,1777.942,3090.301,2339.309,2656.861
670,6006.649,2675.979,1461.783,1493.596,1835.478,3199.532,2387.649,2546.693
680,6047.557,2795.588,1573.449,1509.192,1913.072,3109.955,2378.351,2542.307
690,5923.629,2732.918,1537.797,1647.173,1893.246,3107.141,2473.505,2587.686
700,5875.577,2762.124,1474.116,1511,1857.391,3047.103,2362.835,2403.628
710,5840.01,2775.814,1553.362,1624.404,1916.391,3116.718,2440.371,2610.942
720,5911.474,2697.979,1480.928,1602.596,1818.159,3120.91,2440.485,2541.672
730,5945.423,2745.536,1419.681,1504.75,1971.623,3193.75,2352.938,2655.81
740,5708.557,2886.443,1418,1538.096,1872.884,3168.167,2593.897,2591.679
750,5679.856,2778.371,1593.261,1468.923,1778.899,3231.423,2393.278,2588.153
760,5719.691,2771.959,1497.348,1543.404,1904.899,3046.827,2446.753,2640.577
770,5829.938,2913.113,1456.739,1593.596,1839.652,3142.314,2438.103,2596.504
780,5789.33,2819.515,1576.188,1353.327,1823.13,3182.224,2409.186,2592.796
790,5869.134,2760.134,1463.246,1410.346,1839.391,3128.404,2380.052,2600.197
800,5723.969,2850.773,1498.449,1502.962,1861.377,3174.327,2311.557,2480.263
810,5570.67,2775.072,1541.739,1530.038,1814,3154.051,2380.608,2615.964
820,5671.639,2702.866,1344.71,1400.577,1998.739,3149.481,2220.701,2523.35
830,5604.258,2678.505,1462.507,1497.692,1830.884,3166.09,2431.134,2601.241
840,5622.433,2788.67,1579.507,1458.731,1858.275,3253.647,2334.918,2605.635
850,5440.237,2775.588,1495.565,1348.673,1860.768,3245.436,2463.928,2656.431
860,5445.464,2772.103,1453.899,1332.019,1885.145,3184.686,2493.784,2566.679
870,5632,2836.784,1477.899,1412.365,1723.594,3171.295,2348.856,2684.109
880,5616.536,2809.938,1543.014,1365.615,1928.522,3090.526,2372.68,2600.679
890,5467.567,2747.825,1430.667,1462.962,1870.217,3037.718,2339.753,2637.212
900,5684.887,2777.639,1595.304,1406,1977.609,3104.885,2298.825,2643.109
910,5699.299,2790.784,1510.246,1454.808,1767.957,3071.006,2256.959,2514.628
