time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
330,1164.474,1743.5,2123.892,3189.443,2711.92,2343.309,7872.622,3536.676,4549.261,2970.679,6892.357,3622.295,2539.1,2057.814
340,1164.144,1617.692,2048.568,3234.866,2700.993,2394.763,8088.216,3551.703,4469.478,3015.884,6897.027,3679.643,2575.688,1994.639
350,1135.763,1568.577,2080.324,3212.423,2718.088,2337.794,8126.919,3543.405,4567.696,2986.152,6796.92,3576.438,2488.238,1998.103
360,1140.959,1630.462,2099.081,3175.402,2687.788,2383.588,8206.405,3552.189,4532.058,3046.446,6874.786,3554.804,2493.3,2048.103
370,1210.742,1698.5,2113.135,3204.34,2705.788,2376.959,8105.054,3555.811,4384.551,2989.643,6811.884,3613.661,2465.012,2006.361
380,1220.464,1766.442,2118.892,3263.052,2768.168,2359.155,8184.27,3605.243,4330.174,2903.054,6811.688,3665.08,2502.088,2055.68
390,1168.629,1651.442,2157.189,3249.753,2769.555,2316.701,8132.595,3523.108,4317.899,2922.714,6719.062,3549.232,2589.475,1981.515
400,1194.691,1668.269,2127.027,3228.021,2705.73,2364.196,8028.622,3427.405,4251.638,2868.527,6724.161,3512.036,2569.838,1991.464
410,1216.979,1627.558,2178.595,3185.691,2701.131,2321.289,7911.027,3378.811,4175.522,2852.804,6755.536,3492.304,2495.375,2107.165
420,1167.227,1757.058,2178.189,3161.237,2794.818,2265.134,8066.865,3430.622,4099.783,2865.688,6765.562,3360.598,2410.6,2084.866
430,1212.866,1664.038,2148.973,3205.619,2830.161,2385.34,7905.054,3443.676,4095.536,2873.232,6760.661,3500.25,2449.713,2054.433
440,1225.268,1680.096,2123.568,3339.505,2776.058,2305.052,7872.676,3365.622,4148.072,2848.321,6767.045,3452.438,2578.175,2092.814
450,1182.66,1665.712,2151.162,3245.103,2796.321,2306.742,7863.946,3469.243,4061.449,2910.375,6851.929,3488.375,2485.588,2029.062
460,1182.371,1724.115,2142.162,3227.412,2806.153,2368.619,7690.108,3445.757,4035.725,2915.5,6790.786,3459.491,2530.5,2001.474
470,1250.948,1712.731,2154.243,3225.34,2771.927,2337.01,7734.919,3381.811,4086.464,2882.438,6793.027,3416.491,2506.325,2138.227
480,1173.608,1640.673,2160.73,3192.608,2715.423,2343.041,7858.811,3382.676,4254.783,2828.857,6810.964,3435.58,2476.775,2072.175
