time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
600,4748.15,9021.072,4908.25,7177.538,9201.732,3012.838,2630.541,3163.507
610,4747.738,9403.13,5009.231,7102.538,9286.482,3039.613,2652.73,3017.333
620,4671.038,9130.623,5129.904,7169.231,8955.062,2968.5,2726.162,3170.348
630,4648.038,9221.609,5292.058,6930.865,8961.455,2967.912,2788.541,3197.42
640,4796.575,9239.58,5057.25,7174,9404.143,3179.625,2708.459,3137.812
650,4773.113,9079.609,5140.577,7055.212,9209.241,3037.012,2773.892,3083.319
660,4633.988,9121.681,5111.731,6896.538,8885.188,3082,2869.108,3140.87
670,4595.887,9090.072,5302.269,7108.558,8903.902,3147.213,2837.757,3142.246
680,4593.425,9157.667,4961.327,6960.712,9085.036,3085.213,2785.946,3162.725
690,4732.688,8992.667,4911.558,7017.981,9196.027,2893.113,2857.297,3073.551
700,4660.087,9166.362,4769.769,6957.615,9066.661,2943.725,2913.568,3103.391
710,4660.425,9051.072,4865.731,7044.519,8932.804,3064.925,2850.351,3092.609
720,4689.788,9421.725,4849.538,7179.058,9260.259,3050.075,2927.919,3160.986
730,4738.4,9335.014,4772.135,6979.538,9149.295,3086.363,2883.27,3117.449
740,4703.85,9544.783,4639.769,7134.692,9256.884,3192.213,2997.649,3238.942
750,4707.25,9529.29,4863.135,7273.346,9735.411,3126.713,2764.514,3160.246
760,4797.788,9659.13,4705.904,7019.481,9577.509,3149.925,2952.243,3109.072
770,4720.262,9240.087,4798.615,7185.904,9812.812,3106.075,2918.081,3112.391
780,4706.113,9455.348,4789.904,7247.231,9330.429,3041.825,2884.108,3133.768
790,4649.812,9476.145,4988.212,7030.365,9351.42,2986.825,2976.378,3108.275
800,4700.325,9297.536,4961.846,7050.615,9399.277,3041.15,2980.838,3179.783
810,4644.125,9360.087,4868.231,7135.5,9588.17,3019.425,2869.027,3204.913
820,4627.7,9315.942,4839.442,7376.846,9561.705,3040.325,2839.216,3147.797
830,4529.575,9326.043,4835.865,7176.231,9938.321,3068.262,2798.973,3143.13
840,4537.688,9433.928,4937.538,7305.231,9728.312,2919.062,2850.595,3123.333
850,4613.913,9558.406,4873.827,7337.981,9771.259,2958.012,2862,3110.551
860,4557.312,9301.797,4877.423,7401.019,10080.714,3006.812,2884.162,3134.319
870,4709.087,9295.594,4818.442,7322.5,9677.366,3037.575,2889.757,3168.362
880,4578.837,9079.58,4640.577,7152.25,9962.196,2909.312,2859.162,3108.435
890,4732.363,9129.71,4620.692,7335.231,9987.438,2968.988,2945.838,3176.275
900,4755.512,9295.623,4742.308,7462.346,9803.589,3051.838,2956.027,3184.783
910,4648.038,9137.116,4692.308,7421.654,10174.839,3012.412,2772.622,3277.899
