time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
2600,1186.964,266.072,246.776,816.022,748.489,437.158,1261.667,1221.915,1355.254,1251.881
2640,1229.872,262.35,246.459,683.707,696.367,457.434,1203.228,1243.658,1297.422,1293.872
2680,1196.511,253.222,266.82,757.738,731.754,431.465,1215.634,1247.147,1295.24,1265.409
2720,1188.209,259.094,260.556,744.32,710.352,441.987,1249.754,1301.558,1325.121,1284.96
2760,1125.934,252.589,276.689,689.28,714.124,434.585,1214.895,1274.344,1325.644,1314.466
2800,1113.676,234.391,238.028,764.236,689.561,454.589,1234.837,1229.589,1293.766,1251.857
2840,1126.475,246.541,301.037,780.707,688.97,401.627,1198.67,1237.417,1408.011,1278.085
2880,1141.596,222.331,258.981,723.298,712.787,434.272,1215.038,1254.797,1331.073,1224.178
2920,1212.865,216.022,263.302,797.218,701.696,439.604,1225.357,1213.239,1366.23,1242.81
2960,1347.749,234,280.826,1181.102,726.28,456.405,1241.337,1210.402,1350.271,1263.869
3000,1237.088,250.839,231.094,816.853,737.074,475.877,1245.446,1235.089,1299.813,1267.606
3040,1317.419,252.522,246.148,951.738,704.357,452.358,1267.844,1213.065,1324.917,1237.984
3080,1361.166,213.004,236.361,725.813,723.08,446.68,1238.469,1193.667,1319.947,1262.945
3120,1234.158,228.757,223.744,755.804,726.126,421.962,1229.826,1165.281,1327.231,1231.965
3160,1190.538,229.157,248.148,727.156,721.954,433.886,1273.071,1226.775,1299.653,1240.453
