time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,2113.189,1870.683,2336.479,1675.536,5081.701,1390.587,1095.001
10,2073.117,1871.217,2288.031,1684.593,4786.799,1263.221,1041.892
20,2064.541,1870.038,2312.088,1647.943,4842.555,1366.861,1060.564
30,2062.48,1811.884,2360.664,1740.988,4855.359,1312.591,1087.057
40,2022.198,1802.283,2292.248,1630.221,4771.659,1339.149,1077.924
50,2024.591,1817.946,2315.355,1651.043,4802.74,1278.88,1072.783
60,2074.411,1827.806,2340.927,1613.828,4566.956,1252.933,1040.82
70,2109.709,1853.752,2375.462,1596.335,4588.578,1286.163,1033.334
80,2167.187,1865.228,2348.352,1606.057,4465.846,1304.476,990.114
90,2158.911,1920.192,2389.846,1632.082,4573.896,1292.524,1029.62
100,2218.315,2020.192,2407.658,1667.47,4553.638,1342.582,1041.703
110,2205.1,1931.328,2397.302,1699.272,4584.969,1330.168,1017.668
120,2203.726,1969.154,2457.64,1719.387,4556.688,1351.447,1022.391
130,2260.378,1941.73,2386.732,1742.229,4629.003,1373.274,1030.564
140,2252.122,1952.801,2388.354,1713.509,4622.745,1309.721,985.134
150,2192.361,1970.792,2405.726,1754.922,4730.185,1365.625,1017.403
160,2223.326,1965.743,2419.709,1756.978,4711.698,1372.639,1002.454
170,2228.189,2013.781,2408.846,1794.35,4806.94,1391.995,1025.454
180,2241.774,2012.915,2410.765,1812.933,4883.409,1407.851,1041.716
190,2215.641,2023.815,2400.952,1774.17,4860.659,1387.644,1014.338
200,2190.894,1987.732,2409.628,1744.027,4770.534,1322.024,974.35
210,2263.007,1997.112,2435.65,1838.851,4886.034,1437.01,985.229
220,2223.517,2021.884,2484.314,1823.951,4849.021,1437.01,1036.458
230,2203.787,1932.873,2411.913,1793.965,4811.977,1448.024,1016.609
240,2209.089,1951.734,2428.08,1778.982,4799.724,1402.457,1040.874
250,2172.707,1982.08,2396.146,1776.125,4863.047,1402.332,1037.34
260,2200.643,1952.049,2407.117,1784.84,4757.911,1357.654,993.798
270,2181.587,1996.612,2384.736,1794.223,4736.07,1354.529,1022.1
280,2147.107,1922.792,2422.039,1765.427,4721.862,1400.885,987.025
290,2127.948,1919.616,2396.756,1727.141,4788.542,1407.913,1051.817
300,2099.711,1926.473,2395.685,1727.493,4834.557,1427.534,1047.869
310,2086.893,1856.058,2348.171,1705.642,4913.917,1405.548,1096.365
