time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
540,4196.874,2124.218,851.987,1769.492,969.446,2433.776,2555.071,2021.604,1930.533,1893.956
550,4165.126,2128.169,832.193,1793.216,937.278,2515.581,2522.813,2046.671,1918.107,1948.88
560,4287.759,2131.16,868.38,1813.453,945.5,2533.349,2549.151,1988.667,1921.027,1882.16
570,4175.573,2090.295,846.386,1814.12,980.358,2514.378,2543.871,2013.56,1862.698,1936.329
580,4228.92,2102.166,833.168,1801.88,947.165,2527.505,2638.356,2027.453,1877.867,1928.818
590,4136.361,2031.352,814.177,1810.26,987.503,2554.159,2560.222,2007.071,1896.329,1909.089
600,4191.444,2104.716,839.389,1839.185,987.864,2551.138,2674.231,2044.893,1935.333,1928.187
610,4228.453,2106.16,839.244,1776.44,968.611,2511.844,2604.187,2011.302,1940.289,1889.356
620,4146.682,2066.794,770.851,1860.971,981.437,2553.737,2544.231,2019.902,1987.627,1939.511
630,4165.765,2094.616,795.848,1874.828,1011.348,2514.039,2536.08,1927.458,1921.836,1868.182
640,4056.642,2127.249,781.149,1851.56,941.519,2487.576,2511.498,1919.996,1888.609,1889.24
650,4096.814,2070.983,860.392,1853.32,1000.582,2502.185,2546.142,1995.089,1932.502,1906.542
660,4086.822,2057.576,825.329,1816.294,912.598,2501.323,2454.689,1959.222,1895.596,1847.356
670,4205.413,2081.745,803.946,1832.339,923.544,2445.75,2504.293,2001.76,1869.178,1849.769
680,4213.619,2040.241,894.826,1832.503,1027.544,2470.224,2587.289,1923.422,1904.716,1863.604
690,4141.88,2073.407,851.307,1829.945,957.627,2419.802,2540.129,2000.756,1918.004,1872.16
700,4241.212,2059.269,851.434,1831.138,942.589,2425.797,2548.569,2007.196,1936.862,1828.502
710,4220.759,2070.341,808.259,1826.307,949.816,2481.292,2495.422,1891.151,1908.04,1863.187
720,4167.143,2010.888,804.782,1811.299,1002.218,2440.932,2555.413,1956.84,1936.444,1800.529
730,4093.175,2066.309,821.892,1834.445,952.066,2373.961,2586.96,1969.733,1986.062,1798.338
740,4227.845,2157.504,864.231,1861.107,929.943,2366.677,2481.551,1970.316,1935.911,1821.364
750,4229.496,2105.344,797.316,1855.469,966.18,2391.286,2548.267,1945.813,1939.129,1861.702
760,4243.258,2055.911,872.364,1873.076,970.263,2370.237,2544.529,1980.876,1997.8,1814.058
770,4172.685,2072.917,863.709,1827.76,1006.453,2390.773,2445.862,1961.858,1942.742,1884.48
780,4132.562,2094.441,824.839,1832.018,939.051,2399.51,2557.787,2006.133,1938.062,1856.053
790,4133.487,2012.089,828.484,1864.792,969.241,2417.823,2502.787,2053.827,1994.382,1867.418
800,4124.221,2048.642,858.823,1884.151,934.092,2395.339,2504.111,1986.667,2000.258,1783.844
810,4158.003,2057.782,820.057,1840.029,942.085,2365.81,2531.204,1956.649,1902.071,1889.782
