time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
850,1726.093,1827.812,2252.418,2371.508,2264.867,3057.133,2336.299
860,1719.64,1775.785,2295.399,2422.249,2314.444,3045.642,2317.814
870,1774.996,1740.148,2267.812,2391.554,2274.449,2919.474,2301.407
880,1759.347,1747.855,2314.591,2420.831,2190.996,3023.57,2285.853
890,1760.28,1779.238,2281.01,2299.672,2131.644,3004.164,2376.232
900,1727.733,1769.668,2192.322,2328.339,2180.836,2982.078,2254.407
910,1781.578,1807.465,2212.769,2367.684,2196.511,3016.147,2253.537
920,1757.813,1777.746,2257.981,2345.198,2105.218,2972.102,2272.661
930,1770.089,1813.648,2235.418,2428.96,2162.849,3017.809,2274.542
940,1744.658,1731.734,2229.774,2265.797,2122.542,3025.42,2331.198
950,1715.876,1775.461,2184.567,2322.994,2210.44,2930.447,2310.525
960,1732.44,1764.812,2166.942,2279.508,2212.996,2922.143,2327.051
