time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9
680,1508.151,1572.449,1820.916,1711.554,1577.635,1070.621,599.212,2147.041,2196.795
690,1498.867,1653.101,1791.947,1795.009,1539.007,1083.527,614.115,2090.34,2145.571
700,1482.667,1534.58,1731.782,1816.152,1554.431,1126.035,625.058,2066.464,2196.244
710,1537.556,1641.493,1750.164,1798.955,1539.891,1060.348,623.154,2093.062,2186.853
720,1487.471,1731.652,1720.004,1772.027,1549.766,1134.453,601.048,2060.216,2159.647
730,1473.302,1615.043,1740.72,1685.83,1647.204,1053.379,580.606,2164.691,2159.724
740,1477.596,1677.333,1702.142,1737.848,1615.942,1047.926,584.115,2115.289,2220.474
750,1454.227,1665.826,1772.133,1725.268,1672.825,1084.371,589.793,2118.773,2213.878
760,1464.124,1557.464,1755.831,1690.438,1622.474,1062.875,655.293,2070.196,2190.442
770,1500.684,1592.159,1748.662,1668.732,1599.248,1061.992,632.476,2209.979,2191.218
780,1487.493,1540.609,1771.542,1657.598,1587.584,1078.105,639.99,2135.567,2251.269
790,1496.276,1741.754,1745.142,1686.58,1633.241,1040.676,648.447,2151.649,2234.756
800,1484.613,1704.986,1707.289,1681.384,1488.606,1099.102,592.591,2198.526,2149.853
810,1546.107,1632.174,1730.809,1679.625,1595.044,1135.254,624.298,2254.619,2202.109
820,1499.733,1659.87,1700.551,1708.339,1663.46,1058.715,630.827,2253.577,2208.731
830,1458.173,1549.435,1728.6,1662.982,1700.248,1044.867,609.322,2102.062,2223.295
840,1503.253,1665.261,1732.524,1709.348,1588.642,1091.844,629.284,2266.959,2218.526
850,1525.684,1665.551,1758.711,1642.446,1572.277,1140.336,627.005,2157.371,2229.885
860,1454.622,1598.594,1693.191,1701.884,1483.927,1071.473,594.904,2154.031,2225.622
870,1496.88,1593.029,1781.96,1662.58,1635.161,1067.641,606.418,2182.68,2251.686
880,1424.138,1626.029,1745.48,1639.839,1602.445,1111.477,613.938,2171.68,2299.788
890,1472.022,1656.58,1724.476,1575.375,1604.635,1050.762,592.543,2141.134,2292.686
900,1521.293,1688.638,1721.782,1625.366,1655.679,1072.629,622.269,2235.247,2293.679
910,1553.053,1667.043,1725.569,1561.625,1594.971,1100.75,640.851,2115.144,2320.263
920,1562.173,1645.58,1710.333,1572.616,1684.095,1128.207,614.471,2073.763,2321.301
930,1534.022,1638.565,1746.382,1599,1649.642,1102.363,582.49,2145.577,2322.744
940,1537.267,1604.652,1765.858,1562.045,1569.518,1030.391,580.659,2111.515,2264.045
950,1503.791,1670.855,1715.262,1574.821,1576.599,1131.734,594.466,2212.639,2244.449
960,1526.196,1571.768,1742.902,1605.036,1641.139,1089.742,632.562,2068.742,2338.712
