time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
530,3282.051,2027.038,3593.867,3584.391,2334.711,1754.227,1777.768,2206.62,2215.495,2013.402
540,3369.013,2074.288,3630.036,3507.526,2383.381,1719.196,1903.321,2235.957,2346.619,2047.01
550,3297.173,2035.923,3552.298,3631.045,2318.351,1688.454,1864.482,2274.543,2306.381,2033.711
560,3393.09,2161.692,3577.796,3551.731,2286.351,1645.722,1773.768,2209.394,2395.907,2016.732
570,3319.154,2114.288,3623.427,3663.096,2322.969,1659.907,1834.062,2143.053,2311.505,1957.784
580,3373.596,2050.673,3504.933,3730.378,2308.031,1674.959,1826.321,2205.12,2254.361,1991.361
590,3327.462,2089.788,3543.942,3593.987,2292.01,1716.031,1757.429,2245.034,2307.485,1903.485
600,3370.359,2212.635,3418.778,3643.032,2295.381,1641.753,1878.062,2228.221,2284.814,1953.443
610,3294.718,2173.519,3498.369,3570.045,2338.33,1675.99,1760.232,2112.168,2310.866,1960.381
620,3431.455,2141.788,3475.756,3514.147,2280.216,1749.186,1948.83,2183.697,2238.361,1980.732
630,3341.731,2265.192,3475.52,3571.071,2289.165,1610.062,1775.455,2032.014,2281.639,1955.505
640,3353.788,2249.712,3472.142,3497.59,2391.361,1754.691,1844.982,2074.582,2341.68,1945.258
650,3281.096,2099.231,3452.364,3442.256,2300.216,1646.866,1782.741,2116.091,2299.701,1944.598
660,3313.859,2133.538,3432.213,3402.083,2287.206,1681.175,1787.562,2113.548,2331.093,1980.32
670,3277.5,2100.077,3413.573,3370.699,2255.505,1758.866,1860.929,2212.452,2377.381,1922.598
680,3349.237,2094.442,3513.009,3437.179,2273.196,1743.526,1818.366,2151.356,2421.093,1934.33
690,3264.058,2022.538,3544.204,3480.442,2304.289,1783.34,1804.134,2268.596,2451.99,2005.34
700,3422.224,2157.673,3572.529,3371.397,2303.186,1712.67,1852.884,2139.005,2342.701,1887.113
710,3401.436,1979.827,3710.533,3440.237,2250.701,1795.763,1822.911,2086.635,2369.186,1953.794
720,3273.103,2175.077,3507.809,3340.846,2329.907,1760.216,1888.607,2068.88,2363.577,1931.124
730,3372.782,2062.5,3519.76,3318.801,2284.598,1647.701,1784.179,2067.356,2334.464,1984.577
740,3356.096,1977.288,3540.138,3392.987,2310.392,1768.144,1875.982,1978.798,2316.485,1987.247
750,3318.808,2052.154,3466.329,3381.276,2266.443,1728.32,1836.652,2062.087,2291.01,2004.546
760,3377.167,1916.923,3471.507,3426.558,2253.454,1709.103,1821.554,1987.812,2340.546,2002.557
770,3349.814,2075.173,3432.507,3348.712,2327.887,1828.876,1796.321,2023.913,2373.33,1987.742
780,3317.5,2062.462,3369.938,3371.763,2407.464,1714.938,1831.071,2067.413,2323.196,2019.897
790,3323.667,2094.942,3492.796,3303.628,2350.608,1767.598,1815.232,2066.173,2356.196,2051.32
800,3327.199,1949.538,3520.218,3347.135,2306.763,1716.701,1778.616,2086.774,2327.34,1952.639
810,3363.301,1966.5,3512.72,3311.84,2420.577,1731.031,1845.554,2036.731,2340.464,1955.814
820,3392.179,1944.096,3460.791,3455.673,2317.546,1567.412,1841.188,2063.005,2333.557,1969.907
830,3366.455,1973.212,3464.24,3461.353,2427.495,1674.361,1845.545,1972.591,2387.763,2085.351
840,3271.769,2036.327,3444.116,3344.564,2325.216,1742.845,1854.598,1928.938,2398.206,2034.784
850,3348.885,2118.038,3439.813,3491.763,2340.216,1672.351,1823.402,2067.38,2435.763,2089.546
860,3282.167,2025.192,3540.502,3396.974,2346.845,1671.495,1773.964,1966.303,2364.381,2031.144
870,3294.288,1981.731,3389.311,3401.705,2354.856,1686.103,1879.929,2061.837,2317.99,2138.907
880,3241.827,2076.462,3416.964,3402.045,2309.052,1678.969,1861.366,2019.702,2377.711,2087.567
890,3370.212,2008.962,3385.102,3386.224,2342.608,1743.082,1958.438,2050.635,2446.742,2111.134
900,3406.109,2008.442,3407.604,3431.647,2424.876,1790.32,2014.116,2052.582,2461.629,2034.093
910,3375.712,1966.635,3353.271,3377.692,2251.66,1776.557,1848.67,2019.284,2362.763,2111.423
920,3303.423,1923.231,3333.947,3482.135,2334.371,1719.608,1897.241,2001.12,2461.485,2160.598
930,3273.532,2000.865,3326.484,3451.699,2288.392,1717.062,1860.955,1970.62,2372.464,2033.237
940,3244.038,1945.173,3402.924,3431.615,2390.32,1683.649,1873.938,2082.13,2363.876,1985.474
950,3358.481,2068.115,3501.396,3389.141,2238.134,1696.907,1820.357,2000.659,2410.649,2130.948
960,3450.724,2051.615,3474.058,3448.59,2340.289,1609.938,1877.196,1981.87,2382.433,2031.093
