,time,ligand_off_rate,dimer_off_rate,ZtSH2_clearance
0,0.0,50.0,100.0,-0.0
1,0.5000833472245374,50.0,100.0,0.020217490208878627
2,1.0001666944490748,50.0,100.0,0.03612786980814738
3,1.5002500416736122,50.0,100.0,0.0485629264417739
4,2.0003333888981496,50.0,100.0,0.05827766145101074
5,2.500416736122687,50.0,100.0,0.0658623798073412
6,3.0005000833472244,50.0,100.0,0.07177884381502367
7,3.500583430571762,50.0,100.0,0.07638841209326794
8,4.000666777796299,50.0,100.0,0.07997397570553082
9,4.500750125020836,50.0,100.0,0.08275706804659662
10,5.000833472245374,50.0,100.0,0.08491122164924365
11,5.500916819469912,50.0,100.0,0.08657240062230298
12,6.001000166694449,50.0,100.0,0.08784715813307498
13,6.501083513918986,50.0,100.0,0.08881900993004774
14,7.001166861143524,50.0,100.0,0.08955342622665789
15,7.501250208368061,50.0,100.0,0.09010173707369108
16,8.001333555592598,50.0,100.0,0.09050419212875023
17,8.501416902817136,50.0,100.0,0.09079235451528475
18,9.001500250041673,50.0,100.0,0.09099097807409569
19,9.50158359726621,50.0,100.0,0.09111947748642486
20,10.001666944490747,50.0,100.0,0.09119308152886574
21,10.501750291715286,50.0,100.0,0.09122373650097348
22,11.001833638939823,50.0,100.0,0.09122081362636118
23,11.50191698616436,50.0,100.0,0.09119166609492121
24,12.002000333388898,50.0,100.0,0.09114206224127147
25,12.502083680613435,50.0,100.0,0.09107652763995838
26,13.002167027837972,50.0,100.0,0.09099861389062795
27,13.50225037506251,50.0,100.0,0.09091110768494635
28,14.002333722287048,50.0,100.0,0.09081619513871549
29,14.502417069511585,50.0,100.0,0.09071559194226451
30,15.002500416736122,50.0,100.0,0.09061064458088049
31,15.50258376396066,50.0,100.0,0.09050240931873131
32,16.002667111185197,50.0,100.0,0.09039171477746161
33,16.502750458409736,50.0,100.0,0.09027921127317257
34,17.00283380563427,50.0,100.0,0.09016540825441231
35,17.50291715285881,50.0,100.0,0.09005070610684134
36,18.003000500083346,50.0,100.0,0.08993541796334159
37,18.503083847307884,50.0,100.0,0.08981978996001574
38,19.00316719453242,50.0,100.0,0.08970401452233626
39,19.50325054175696,50.0,100.0,0.08958824177271697
40,20.003333888981494,50.0,100.0,0.08947258991875343
41,20.503417236206033,50.0,100.0,0.08935715055961263
42,21.003500583430572,50.0,100.0,0.08924199571125435
43,21.503583930655108,50.0,100.0,0.08912718113581848
44,22.003667277879646,50.0,100.0,0.08901275019697939
45,22.503750625104182,50.0,100.0,0.08889873644671589
46,23.00383397232872,50.0,100.0,0.08878516563744489
47,23.503917319553256,50.0,100.0,0.08867205747749834
48,24.004000666777795,50.0,100.0,0.08855942694041752
49,24.504084014002334,50.0,100.0,0.08844728529226956
50,25.00416736122687,50.0,100.0,0.08833564095689521
51,25.50425070845141,50.0,100.0,0.0882245000070895
52,26.004334055675944,50.0,100.0,0.08811386657692118
53,26.504417402900483,50.0,100.0,0.08800374364993459
54,27.00450075012502,50.0,100.0,0.08789413229384357
55,27.504584097349557,50.0,100.0,0.08778503415736431
56,28.004667444574096,50.0,100.0,0.08767644873395816
57,28.50475079179863,50.0,100.0,0.08756837565987553
58,29.00483413902317,50.0,100.0,0.087460814101273
59,29.504917486247706,50.0,100.0,0.08735376286897156
60,30.005000833472245,50.0,100.0,0.0872472208236594
61,30.50508418069678,50.0,100.0,0.08714118627269861
62,31.00516752792132,50.0,100.0,0.08703565743807269
63,31.505250875145855,50.0,100.0,0.08693063237815662
64,32.005334222370394,50.0,100.0,0.08682610907303429
65,32.50541756959493,50.0,100.0,0.08672208549021351
66,33.00550091681947,50.0,100.0,0.08661855948302884
67,33.505584264044,50.0,100.0,0.08651552888882894
68,34.00566761126854,50.0,100.0,0.08641299153739042
69,34.50575095849308,50.0,100.0,0.08631094521303577
70,35.00583430571762,50.0,100.0,0.08620938768465937
71,35.50591765294215,50.0,100.0,0.08610831674934856
72,36.00600100016669,50.0,100.0,0.08600773017195167
73,36.50608434739123,50.0,100.0,0.08590762572014518
74,37.00616769461577,50.0,100.0,0.08580800116892709
75,37.50625104184031,50.0,100.0,0.08570885428232729
76,38.00633438906484,50.0,100.0,0.08561018283625539
77,38.50641773628938,50.0,100.0,0.08551198461485503
78,39.00650108351392,50.0,100.0,0.08541425739249872
79,39.50658443073846,50.0,100.0,0.08531699900126924
80,40.00666777796299,50.0,100.0,0.08522020720841063
81,40.50675112518753,50.0,100.0,0.08512387980507237
82,41.006834472412066,50.0,100.0,0.0850280146760731
83,41.506917819636605,50.0,100.0,0.08493260959528576
84,42.007001166861144,50.0,100.0,0.08483766237440578
85,42.507084514085676,50.0,100.0,0.08474317094266974
86,43.007167861310215,50.0,100.0,0.08464913309166232
87,43.507251208534754,50.0,100.0,0.0845555466892122
88,44.00733455575929,50.0,100.0,0.08446240961324869
89,44.50741790298383,50.0,100.0,0.08436971975563969
90,45.007501250208364,50.0,100.0,0.08427747496555238
91,45.5075845974329,50.0,100.0,0.0841856732321288
92,46.00766794465744,50.0,100.0,0.08409431239884094
93,46.50775129188198,50.0,100.0,0.08400339037790734
94,47.00783463910651,50.0,100.0,0.08391290509532244
95,47.50791798633105,50.0,100.0,0.08382285449340703
96,48.00800133355559,50.0,100.0,0.08373323652683622
97,48.50808468078013,50.0,100.0,0.08364404916309892
98,49.00816802800467,50.0,100.0,0.08355529038429806
99,49.5082513752292,50.0,100.0,0.08346695815844327
100,50.00833472245374,50.0,100.0,0.08337905043563769
101,50.50841806967828,50.0,100.0,0.08329156524519649
